pair_id,topic_guess,video_source_id,video_file_name,text_source_id,text_file_name,pair_confidence,pair_status,manual_check_reason,next_action
pair_0001,正样本成片/10分钟练出紧致 盆底肌,src_scan_0001,10分钟练出紧致 盆底肌.mp4,src_scan_0002,10分钟练出紧致 盆底肌.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0002,正样本成片/50+女性练出精致的盆底肌,src_scan_0005,50+女性练出精致的盆底肌.mp4,src_scan_0006,50+女性练出精致的盆底肌.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0003,正样本成片/60岁的夫妻生活还有意思吗,src_scan_0007,60岁的夫妻生活还有意思吗.mp4,src_scan_0008,60岁的夫妻生活还有意思吗.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0004,正样本成片/60岁还有夫妻生活是种什么体验,src_scan_0009,60岁还有夫妻生活是种什么体验.mp4,src_scan_0010,60岁还有夫妻生活是种什么体验.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0005,正样本成片/S蜜垂吊球练一次收一次,src_scan_0011,S蜜垂吊球练一次收一次.mp4,src_scan_0012,S蜜垂吊球练一次收一次.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0006,正样本成片/两个动作让你轻松臀跳舞,src_scan_0013,两个动作让你轻松臀跳舞.mp4,src_scan_0014,两个动作让你轻松臀跳舞.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0007,正样本成片/为什么男人都喜欢丰满的女人,src_scan_0015,为什么男人都喜欢丰满的女人.mp4,src_scan_0016,为什么男人都喜欢丰满的女人.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0008,正样本成片/亚洲和欧洲女性身体上的区别在哪,src_scan_0017,亚洲和欧洲女性身体上的区别在哪.mp4,src_scan_0018,亚洲和欧洲女性身体上的区别在哪.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0009,正样本成片/动态臀桥 练一次收一次,src_scan_0019,动态臀桥 练一次收一次.mp4,src_scan_0020,动态臀桥 练一次收一次.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0010,正样本成片/只要你会很玩 男人就会很上头,src_scan_0021,只要你会很玩 男人就会很上头.mp4,src_scan_0022,只要你会很玩 男人就会很上头.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0011,正样本成片/夫妻感情好不好看床就知道,src_scan_0023,夫妻感情好不好看床就知道.mp4,src_scan_0024,夫妻感情好不好看床就知道.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0012,正样本成片/女人只会对自己爱的人好色,src_scan_0025,女人只会对自己爱的人好色.mp4,src_scan_0026,女人只会对自己爱的人好色.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0013,正样本成片/女性S蜜垂吊球练一次收一次,src_scan_0027,女性S蜜垂吊球练一次收一次.mp4,src_scan_0028,女性S蜜垂吊球练一次收一次.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0014,正样本成片/女性如何给男人做S蜜保养,src_scan_0029,女性如何给男人做S蜜保养.mp4,src_scan_0030,女性如何给男人做S蜜保养.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0015,正样本成片/女性越胖 越有需求吗,src_scan_0031,女性越胖 越有需求吗.mp4,src_scan_0032,女性越胖 越有需求吗.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0016,正样本成片/如何改善X冷淡？,src_scan_0033,如何改善X冷淡？.mp4,src_scan_0034,如何改善X冷淡？.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0017,正样本成片/对方有了喜欢要为自己鼓掌,src_scan_0035,对方有了喜欢要为自己鼓掌.mp4,src_scan_0036,对方有了喜欢要为自己鼓掌.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0018,正样本成片/更年期女性自救指南告别僵硬疼痛,src_scan_0037,更年期女性自救指南告别僵硬疼痛.mp4,src_scan_0038,更年期女性自救指南告别僵硬疼痛.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0019,正样本成片/极致的体验会让人念念不忘,src_scan_0039,极致的体验会让人念念不忘.mp4,src_scan_0040,极致的体验会让人念念不忘.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0020,正样本成片/正确的夫妻生活 是什么样的,src_scan_0041,正确的夫妻生活 是什么样的.mp4,src_scan_0042,正确的夫妻生活 是什么样的.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0021,正样本成片/生理旺盛的女性 有哪些特征,src_scan_0043,生理旺盛的女性 有哪些特征.mp4,src_scan_0044,生理旺盛的女性 有哪些特征.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0022,正样本成片/男人的床品就是他的人品,src_scan_0045,男人的床品就是他的人品.mp4,src_scan_0046,男人的床品就是他的人品.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0023,正样本成片/男性按摩操真的有用吗,src_scan_0047,男性按摩操真的有用吗.mp4,src_scan_0048,男性按摩操真的有用吗.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0024,正样本成片/细节看男人床品暴露一切,src_scan_0049,细节看男人床品暴露一切.mp4,src_scan_0050,细节看男人床品暴露一切.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0025,正样本成片/老年人相亲尺度相当的大,src_scan_0051,老年人相亲尺度相当的大.mp4,src_scan_0052,老年人相亲尺度相当的大.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0026,正样本成片/胖乎乎的女人男人都喜欢,src_scan_0053,胖乎乎的女人男人都喜欢.mp4,src_scan_0054,胖乎乎的女人男人都喜欢.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0027,正样本成片/能让男人舒服 莫过于两个技巧,src_scan_0055,能让男人舒服 莫过于两个技巧.mp4,src_scan_0056,能让男人舒服 莫过于两个技巧.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0028,正样本成片/身体是拿来用的,src_scan_0057,身体是拿来用的.mp4,src_scan_0058,身体是拿来用的.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0029,正样本成片/送给男人的礼物丁丁按摩操,src_scan_0059,送给男人的礼物丁丁按摩操.mp4,src_scan_0060,送给男人的礼物丁丁按摩操.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0030,负样本成片/跑跳漏水尴尬 一个小球告别尴尬,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,src_scan_0065,跑跳漏水尴尬 一个小球告别尴尬.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0031,负样本成片/高段位女性都在练习八爪鱼,src_scan_0067,高段位女性都在练习八爪鱼.mp4,src_scan_0068,高段位女性都在练习八爪鱼.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0032,正样本成片/30岁的女性练八爪鱼要多久 <-> 30岁女性八爪鱼要多久,src_scan_0004,30岁的女性练八爪鱼要多久.mp4,src_scan_0003,30岁女性八爪鱼要多久.txt,0.92,待人工确认,文件名相似但不完全一致，禁止强行视为已配对,人工打开 txt 与视频核对主题和时间码
pair_0033,负样本成片/会跳舞的臀你想拥有吗？,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,,,0.00,缺文本,未找到同名或高相似 txt,补 txt 或人工确认是否无需文本
pair_0034,负样本成片/附件,,,src_scan_0066,附件.txt,0.00,缺视频,未找到同名或高相似视频,补视频或人工确认文本用途
