video_id,file_name,original_structure_formula,video_type,audience_trigger_type,audience_detail,age_trigger,identity_trigger,body_state_trigger,pain_point_trigger,result_trigger,risk_trigger,opening_style,opening_trigger_condition,opening_abrupt_risk,middle_delivery_type,middle_evidence_type,middle_fulfillment_level,ending_style,ending_trigger_condition,ending_abrupt_risk,transition_rule,rough_cut_start_advice,rough_cut_end_advice,discard_condition,manual_review_items,confidence,evidence
fv_0001,30+产后妈妈居家必练动作.mp4,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,body_care_knowledge,身体状态点名,30岁/30+女性；产后妈妈/宝妈；漏尿/漏水/漏气人群；盆底松弛/盆底无力；盆底高张/疼痛不适,30岁/30+女性,产后妈妈/宝妈,漏尿/漏水/漏气人群；盆底松弛/盆底无力；盆底高张/疼痛不适,漏尿漏水尴尬；盆底松弛无力；盆底高张疼痛,盆底紧致/八爪鱼/抓握力；漏尿漏水改善,医学/健康边界风险；效果承诺风险,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：盆底紧致/八爪鱼/抓握力；漏尿漏水改善。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：医学/健康边界风险；效果承诺风险。,分步口令/计数教学；图解/解剖辅助说明,字幕口令/次数证据；图示/标注证据；效果对比或结果提示证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,‘漏尿松弛’‘高张疼痛’等医学表述需临床依据确认；‘100次’频次是否适配个体差异需专业复核,high_existing_analysis,"时间码：00:00:00.000, 00:00:02.122, 00:00:04.244, 00:00:06.367, 00:00:08.489, 00:00:10.611；关键帧：F1-2: 背对坐姿提臀，字幕‘漏尿松弛’；F3: 侧身坐姿，字幕‘高张疼痛’；F4: 同F3姿势延续；F5-6: 正面坐姿上下震颤，字幕‘盆底Jz’；所有帧右下角小字标注‘本方法为辅助改善手段’；证据索引：F1-2: 背对坐姿提臀，字幕‘漏尿松弛’"
fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,人群点名 + 低门槛动作 + 坚持建议,sports_teaching,身体状态点名,35岁以后女性；产后妈妈/宝妈；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀；练错动作/误区人群,35岁以后女性,产后妈妈/宝妈,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀；练错动作/误区人群,盆底松弛无力；小腹凸/腹压/悬垂腹；妈妈臀/臀凹陷/臀扁平；假胯宽/骨盆外翻/体态问题,小腹平/肚子平；臀翘/臀饱满/蜜桃臀；盆底紧致/八爪鱼/抓握力,效果承诺风险,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：小腹平/肚子平；臀翘/臀饱满/蜜桃臀；盆底紧致/八爪鱼/抓握力。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：效果承诺风险。,单动作循环演示,连续动作帧证据,高：开头问题、中段动作/解释、结尾收束基本闭环,结果/价值重申收束,适合结果前置或痛点解决类视频，用结果回扣前文价值。,如果结果承诺没有过程证据，结尾会显得夸大。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到结果回扣前文价值，不要额外拼接新结果。,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,‘小肚子平了 臀翘了’‘锻炼盆底肌’等效果承诺需医学依据支持；‘每天100个’是否适合产后/高龄人群需专业复核,high_existing_analysis,"时间码：00:00:00.000, 00:00:02.350, 00:00:04.700, 00:00:07.049, 00:00:09.399, 00:00:11.749；关键帧：帧1-3（0-4.7s）：背对坐姿，双手扶椅，骨盆后倾启动；帧4-6（7-11.7s）：转为正脸，手放腰腹，强调核心参与与呼吸配合；全程字幕一致强化‘35+’‘100个’‘盆底肌’关键词；证据索引：帧1-3（0-4.7s）：背对坐姿，双手扶椅，骨盆后倾启动"
fv_0003,4月17日(1).mp4,错误动作 + 正确动作 + 原因解释,sports_teaching,动作状态点名,练错动作/误区人群,无显式年龄,无显式身份,练错动作/误区人群,练错动作/误区,无明确结果触发,效果承诺风险,误区/错误先抛型,适合已有错误动作、错误认知或反面案例的素材，开头后必须马上解释为什么错。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。 风险词需要克制处理：效果承诺风险。,错误-正确对比拆解；分步口令/计数教学；图解/解剖辅助说明,对比画面/反例证据；字幕口令/次数证据；图示/标注证据,中：结构可用，但画面/说话/桥接仍需人工复核,动作完成/视觉定型收束,适合动作教学类素材，保留动作完成位或定型姿态。,如果动作还没完成就切掉，结尾会断。,错误/误区开头后必须接同一错误的原因解释，再接正确动作；结尾用定型或安全提醒。,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到动作定型或最后一次完整循环结束，避免切在半个动作。,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,需确认是否含语音讲解；业务事实待确认：动作是否针对特定健康问题（如肩颈矫正），是否存在效果承诺表述,medium_existing_analysis,"时间码：00:00:00.000, 00:00:05.471, 00:00:10.941, 00:00:16.412, 00:00:21.882, 00:00:27.353；关键帧：帧1：真人正面标准拉伸；帧2：手绘坐姿错误示范；帧3：真人站立错误姿势（耸肩/手位不当）；帧4：真人正确动态动作（开合+呼吸）；帧5：手绘侧视肩颈细节修正；帧6：真人侧视收尾定型；证据索引：帧1：真人正面标准拉伸"
fv_0004,5月26日 (2).mp4,人群点名 + 低门槛动作 + 坚持建议,sports_teaching,身份点名,30岁/30+女性；产后妈妈/宝妈；女性/姐妹,30岁/30+女性,产后妈妈/宝妈；女性/姐妹,无显式身体状态,假胯宽/骨盆外翻/体态问题,盆底紧致/八爪鱼/抓握力；腰细/胯小/腿细,无明确风险触发,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：盆底紧致/八爪鱼/抓握力；腰细/胯小/腿细。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。,单动作循环演示,连续动作帧证据,中：结构可用，但画面/说话/桥接仍需人工复核,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,‘越练越紧’效果承诺需医学依据确认；动作是否适用于产后/盆底肌受损人群待专业审核,medium_existing_analysis,"时间码：00:00:00.000, 00:00:02.443, 00:00:04.885, 00:00:07.328, 00:00:09.770, 00:00:12.213；关键帧：帧1-2：背影坐姿+文字钩子；帧3-4：屈膝开胯过渡；帧5-6：手推膝外展+回正循环；全程同一场景/人物/道具（粉色球），动作幅度小、易模仿；证据索引：帧1-2：背影坐姿+文字钩子"
fv_0005,5月26日(1).mp4,错误动作 + 正确动作 + 原因解释,movement_correction,身体状态点名,盆底松弛/盆底无力；练错动作/误区人群,无显式年龄,无显式身份,盆底松弛/盆底无力；练错动作/误区人群,盆底松弛无力；练错动作/误区,盆底紧致/八爪鱼/抓握力,效果承诺风险,误区/错误先抛型,适合已有错误动作、错误认知或反面案例的素材，开头后必须马上解释为什么错。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。 风险词需要克制处理：效果承诺风险。,分步口令/计数教学；图解/解剖辅助说明,字幕口令/次数证据；图示/标注证据,高：开头问题、中段动作/解释、结尾收束基本闭环,动作完成/视觉定型收束,适合动作教学类素材，保留动作完成位或定型姿态。,如果动作还没完成就切掉，结尾会断。,错误/误区开头后必须接同一错误的原因解释，再接正确动作；结尾用定型或安全提醒。,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到动作定型或最后一次完整循环结束，避免切在半个动作。,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,业务事实待确认：盆底肌训练效果承诺表述,high_existing_analysis,"时间码：00:00:00.000,00:00:02.828,00:00:05.656,00:00:08.485,00:00:11.313,00:00:14.141；关键帧：0s侧身紧张态+标题；2.8s开始坐姿准备；5.7s吸气展开；8.5s呼气收紧；11.3s转向镜头讲解；14.1s定格口型强调呼吸指令；证据索引：0s侧身紧张态+标题"
fv_0006,5月26日.mp4,痛点可视化 + 解决方案 + 效果对比 + 行动指令,body_care_knowledge,身体状态点名,盆底松弛/盆底无力,无显式年龄,无显式身份,盆底松弛/盆底无力,盆底松弛无力,无明确结果触发,无明确风险触发,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：无明确结果触发。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。,分步口令/计数教学；图解/解剖辅助说明,字幕口令/次数证据；图示/标注证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,盆底肌训练效果承诺需业务事实待确认,high_existing_analysis,时间码：00:00:00.000–00:00:14.141；关键帧：6帧均为同一人坐姿演示盆底肌瑜伽球练习，字幕统一强调‘练了就知道有多累’，每帧配呼吸指令与解剖图示；证据索引：6帧均为同一人坐姿演示盆底肌瑜伽球练习，字幕统一强调‘练了就知道有多累’，每帧配呼吸指令与解剖图示
fv_0007,5月27日 (1).mp4,错误动作 + 正确动作 + 原因解释,movement_correction,身份点名,女性/姐妹；练错动作/误区人群,无显式年龄,女性/姐妹,练错动作/误区人群,假胯宽/骨盆外翻/体态问题；练错动作/误区,无明确结果触发,越练越糟风险,误区/错误先抛型,适合已有错误动作、错误认知或反面案例的素材，开头后必须马上解释为什么错。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。 风险词需要克制处理：越练越糟风险。,错误-正确对比拆解,对比画面/反例证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,错误/误区开头后必须接同一错误的原因解释，再接正确动作；结尾用定型或安全提醒。,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,凯格尔训练效果承诺需业务事实待确认,high_existing_analysis,"时间码：00:00:00,00:00:04,00:00:09,00:00:13,00:00:18,00:00:22；关键帧：六帧均为同一女性在室内地毯上用粉色球演示凯格尔相关动作，字幕统一为‘别再瞎练凯格尔 每天睡前跟练5分钟’；前3帧含正面/侧视/背视角度变化，后3帧强化坐姿细节与呼吸配合；证据索引：六帧均为同一女性在室内地毯上用粉色球演示凯格尔相关动作，字幕统一为‘别再瞎练凯格尔 每天睡前跟练5分钟’"
fv_0008,5月27日.mp4,错误动作 + 正确动作 + 原因解释,movement_correction,动作状态点名,练错动作/误区人群,无显式年龄,无显式身份,练错动作/误区人群,练错动作/误区,无明确结果触发,无明确风险触发,误区/错误先抛型,适合已有错误动作、错误认知或反面案例的素材，开头后必须马上解释为什么错。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。,错误-正确对比拆解；分步口令/计数教学；单动作循环演示,对比画面/反例证据；字幕口令/次数证据；连续动作帧证据,高：开头问题、中段动作/解释、结尾收束基本闭环,结果/价值重申收束,适合结果前置或痛点解决类视频，用结果回扣前文价值。,如果结果承诺没有过程证据，结尾会显得夸大。,错误/误区开头后必须接同一错误的原因解释，再接正确动作；结尾用定型或安全提醒。,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到结果回扣前文价值，不要额外拼接新结果。,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,业务事实待确认,high_existing_analysis,时间码：00:00:00.000-00:00:16.509；关键帧：六帧均为同一人坐姿训练动作，从侧面/后侧多角度展示臀部发力错误与调整过程，字幕重复训练频次与常见错误提示；证据索引：六帧均为同一人坐姿训练动作，从侧面/后侧多角度展示臀部发力错误与调整过程，字幕重复训练频次与常见错误提示
fv_0009,70%女性中招的盆底肌误区.mp4,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,pitfall_warning,身份点名,女性/姐妹；漏尿/漏水/漏气人群；练错动作/误区人群,无显式年龄,女性/姐妹,漏尿/漏水/漏气人群；练错动作/误区人群,漏尿漏水尴尬；练错动作/误区,盆底紧致/八爪鱼/抓握力,高发误区/比例刺激；越练越糟风险；医学/健康边界风险,误区/错误先抛型,适合已有错误动作、错误认知或反面案例的素材，开头后必须马上解释为什么错。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。 风险词需要克制处理：高发误区/比例刺激；越练越糟风险；医学/健康边界风险。,错误-正确对比拆解；原因解释/归因讲解,对比画面/反例证据；口播或字幕解释证据,高：开头问题、中段动作/解释、结尾收束基本闭环,风险提醒收束,适合误区、禁忌、健康边界较强的内容，结尾要留到提醒说完。,如果前文没有解释风险来源，结尾突然提醒会像吓人。,错误/误区开头后必须接同一错误的原因解释，再接正确动作；结尾用定型或安全提醒。,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,必须留到风险提醒/注意事项完整说完，必要时向后多留3-10秒。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,业务事实待确认：70%数据来源、‘越练越严重’临床依据,high_existing_analysis,"时间码：00:00:00,00:00:13,00:00:26,00:00:39,00:00:52,00:01:05；关键帧：六帧均为同一主讲人坐姿讲解，字幕依次呈现：干涩漏尿→很多人不知道→都是有紧缩的→情绪长期处一种→要解决起来→可能越练越严重；证据索引：六帧均为同一主讲人坐姿讲解，字幕依次呈现：干涩漏尿→很多人不知道→都是有紧缩的→情绪长期处一种→要解决起来→可能越练越严重"
fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,痛点问题 + 原因解释 + 方法交付,sports_teaching,身体状态点名,盆底松弛/盆底无力；膨出/脱垂/下垂,无显式年龄,无显式身份,盆底松弛/盆底无力；膨出/脱垂/下垂,盆底松弛无力；膨出脱垂/下垂,盆底紧致/八爪鱼/抓握力,医学/健康边界风险；效果承诺风险,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：盆底紧致/八爪鱼/抓握力。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：医学/健康边界风险；效果承诺风险。,分步口令/计数教学；图解/解剖辅助说明,字幕口令/次数证据；图示/标注证据,高：开头问题、中段动作/解释、结尾收束基本闭环,结果/价值重申收束,适合结果前置或痛点解决类视频，用结果回扣前文价值。,如果结果承诺没有过程证据，结尾会显得夸大。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到结果回扣前文价值，不要额外拼接新结果。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,业务事实待确认：宫下垂与臀桥呼吸的医学关联性,high_existing_analysis,"时间码：00:00:00,00:00:15,00:00:31,00:00:47,00:01:03,00:01:19；关键帧：六帧依次显示：标题+解剖图→起始位→收会阴→盆底肌向中收紧→吸气→数数节奏（1987654321）；证据索引：六帧依次显示：标题+解剖图→起始位→收会阴→盆底肌向中收紧→吸气→数数节奏（1987654321）"
fv_0011,产后漏尿能自己好吗.mp4,痛点可视化 + 解决方案 + 效果对比 + 行动指令,body_care_knowledge,身体状态点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；盆底松弛/盆底无力,无显式年龄,产后妈妈/宝妈,漏尿/漏水/漏气人群；盆底松弛/盆底无力,漏尿漏水尴尬；盆底松弛无力,无明确结果触发,医学/健康边界风险；效果承诺风险,痛点可视化/问题先抛型,适合能把身体困扰具体化的素材；本条痛点锚点：漏尿漏水尴尬；盆底松弛无力。,如果痛点太大但中段只给无关动作，开头会显得焦虑化且不兑现。 风险词需要克制处理：医学/健康边界风险；效果承诺风险。,分步口令/计数教学；原因解释/归因讲解,字幕口令/次数证据；口播或字幕解释证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,痛点开头后必须接原因、动作或可见方案，结尾用跟练/注意事项收住。,向前保留痛点出现前的主语和第一帧痛点画面，不能只截结果词。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,业务事实待确认：漏尿自愈可能性、腹直肌修复有效性,high_existing_analysis,"时间码：00:00:00, 00:00:23, 00:00:47, 00:01:10, 00:01:34, 00:01:57；关键帧：00:00:00痛点引入；00:00:23阶段描述；00:00:47症状强化；00:01:10问题归类（腹压/松弛等）；00:01:34提出修复需求；00:01:57总结基本性与行动暗示；证据索引：00:00:00痛点引入"
fv_0012,你的小肚子凸可能不是胖.mp4,错误动作 + 正确动作 + 原因解释,movement_correction,身体状态点名,女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；练错动作/误区人群,无显式年龄,女性/姐妹,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；练错动作/误区人群,盆底松弛无力；小腹凸/腹压/悬垂腹；假胯宽/骨盆外翻/体态问题；练错动作/误区,无明确结果触发,高发误区/比例刺激,误区/错误先抛型,适合已有错误动作、错误认知或反面案例的素材，开头后必须马上解释为什么错。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。 风险词需要克制处理：高发误区/比例刺激。,错误-正确对比拆解；分步口令/计数教学；单动作循环演示,对比画面/反例证据；字幕口令/次数证据；连续动作帧证据,高：开头问题、中段动作/解释、结尾收束基本闭环,结果/价值重申收束,适合结果前置或痛点解决类视频，用结果回扣前文价值。,如果结果承诺没有过程证据，结尾会显得夸大。,错误/误区开头后必须接同一错误的原因解释，再接正确动作；结尾用定型或安全提醒。,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到结果回扣前文价值，不要额外拼接新结果。,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,业务事实待确认：小肚子凸与非肥胖关联性,high_existing_analysis,"时间码：00:00:00.000,00:00:11.104,00:00:22.208,00:00:33.311,00:00:44.415,00:00:55.519；关键帧：6帧均为同一女性在室内做弓步交替动作，字幕提示‘左右交替进行 10次一组做3组’，叠加数字1/4/5/8/9指示进度；无换装、换景、说话口型变化；证据索引：6帧均为同一女性在室内做弓步交替动作，字幕提示‘左右交替进行 10次一组做3组’，叠加数字1/4/5/8/9指示进度"
fv_0013,先减肥还是先改善漏尿.mp4,痛点问题 + 原因解释 + 方法交付,body_care_knowledge,身份点名,女性/姐妹；漏尿/漏水/漏气人群,无显式年龄,女性/姐妹,漏尿/漏水/漏气人群,漏尿漏水尴尬,无明确结果触发,医学/健康边界风险；效果承诺风险,痛点可视化/问题先抛型,适合能把身体困扰具体化的素材；本条痛点锚点：漏尿漏水尴尬。,如果痛点太大但中段只给无关动作，开头会显得焦虑化且不兑现。 风险词需要克制处理：医学/健康边界风险；效果承诺风险。,原因解释/归因讲解,口播或字幕解释证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,痛点开头后必须接原因、动作或可见方案，结尾用跟练/注意事项收住。,向前保留痛点出现前的主语和第一帧痛点画面，不能只截结果词。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,业务事实待确认：漏尿与减肥的医学优先级关系,high_existing_analysis,"时间码：00:00:00,00:00:12,00:00:24,00:00:36,00:00:48,00:01:00；关键帧：00:00:00提问冲突；00:00:12定义漏尿；00:00:24指出现象普遍；00:00:36谈影响；00:00:48强调依据；00:01:00给出明确结论；证据索引：00:00:00提问冲突"
fv_0014,别再疯狂练收紧可能越练越漏尿.mp4,痛点问题 + 原因解释 + 方法交付,body_care_knowledge,身体状态点名,漏尿/漏水/漏气人群；盆底松弛/盆底无力；练错动作/误区人群,无显式年龄,无显式身份,漏尿/漏水/漏气人群；盆底松弛/盆底无力；练错动作/误区人群,漏尿漏水尴尬；盆底松弛无力；练错动作/误区,盆底紧致/八爪鱼/抓握力,越练越糟风险；单一方法过度承诺；医学/健康边界风险,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：盆底紧致/八爪鱼/抓握力。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：越练越糟风险；单一方法过度承诺；医学/健康边界风险。,原因解释/归因讲解,口播或字幕解释证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,业务事实待确认：漏尿与收紧训练的因果关系需医学依据,high_existing_analysis,"时间码：00:00:00,00:00:08.754,00:00:17.508,00:00:26.261,00:00:35.015,00:00:43.769；关键帧：00:00:00‘我还漏尿’点题；00:00:08.754提时间成本；00:00:17.5强调‘收放自如’；00:00:26.261纠正‘不是单纯紧’；00:00:35.015提出‘先放松’；00:00:43.769落脚‘不知怎样去做’促行动；证据索引：00:00:00‘我还漏尿’点题"
fv_0015,单纯练凯格尔能改善漏尿吗.mp4,痛点问题 + 原因解释 + 方法交付,body_care_knowledge,身份点名,女性/姐妹；漏尿/漏水/漏气人群；练错动作/误区人群,无显式年龄,女性/姐妹,漏尿/漏水/漏气人群；练错动作/误区人群,漏尿漏水尴尬；练错动作/误区,漏尿漏水改善,单一方法过度承诺；医学/健康边界风险；效果承诺风险,结果承诺前置型,适合结果很明确且中段能展示过程的素材；本条结果锚点：漏尿漏水改善。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；医学/健康边界风险；效果承诺风险。,分步口令/计数教学；原因解释/归因讲解,字幕口令/次数证据；口播或字幕解释证据,高：开头问题、中段动作/解释、结尾收束基本闭环,轻行动/跟练指令收束,适合中段已经交付动作或原因后，用低压跟练、收藏、咨询入口收住。,如果中段未兑现，结尾直接行动号召会像硬转化。,结果前置后必须接过程证据或动作演示，结尾只能轻重申结果，不能再叠加新承诺。,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,业务事实待确认：凯格尔对漏尿改善效果需临床依据支撑,high_existing_analysis,"时间码：00:00:00,00:00:36,00:01:13,00:01:50,00:02:27,00:03:04；关键帧：00:00:00痛点陈述；00:00:36追问现状；00:01:13引出方法；00:01:50建议轻运动；00:02:27条件假设；00:03:04行动号召；证据索引：00:00:00痛点陈述"
