category,trigger_type,trigger_detail,count,example_video_ids,status_note
人群触发,身体状态点名,盆底松弛/盆底无力,8,fv_0006；fv_0029；fv_0037；fv_0047；fv_0061；fv_0065；fv_0074；fv_0089,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,动作状态点名,练错动作/误区人群,7,fv_0003；fv_0008；fv_0027；fv_0035；fv_0040；fv_0044；fv_0063,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,40岁/40+女性；女性/姐妹；臀凹陷/妈妈臀/扁平臀,5,fv_0020；fv_0033；fv_0075；fv_0077；fv_0083,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；漏尿/漏水/漏气人群,5,fv_0051；fv_0052；fv_0055；fv_0096；fv_0098,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,泛人群/场景点名,未显式细分_基于画面或标题待复核,5,fv_0043；fv_0046；fv_0070；fv_0084；fv_0087,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,40岁/40+女性；女性/姐妹,4,fv_0018；fv_0022；fv_0024；fv_0066,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,40岁/40+女性；女性/姐妹；盆底松弛/盆底无力,4,fv_0019；fv_0021；fv_0023；fv_0025,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；盆底松弛/盆底无力,3,fv_0031；fv_0071；fv_0097,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,40岁/40+女性；女性/姐妹；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,2,fv_0073；fv_0092,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹,2,fv_0059；fv_0060,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹；臀凹陷/妈妈臀/扁平臀,2,fv_0016；fv_0032,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；练错动作/误区人群,2,fv_0034；fv_0054,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；臀凹陷/妈妈臀/扁平臀,2,fv_0053；fv_0081,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；漏尿/漏水/漏气人群；练错动作/误区人群,2,fv_0009；fv_0015,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,小腹凸/悬垂腹/腹压问题,2,fv_0069；fv_0076,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群,2,fv_0039；fv_0085,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群；盆底松弛/盆底无力,2,fv_0080；fv_0093,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群；盆底松弛/盆底无力；练错动作/误区人群,2,fv_0014；fv_0045,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题,2,fv_0067；fv_0082,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,2,fv_0041；fv_0091,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；练错动作/误区人群,2,fv_0005；fv_0028,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,臀凹陷/妈妈臀/扁平臀,2,fv_0088；fv_0090,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,30岁/30+女性；产后妈妈/宝妈；女性/姐妹,1,fv_0004,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,30岁/30+女性；产后妈妈/宝妈；漏尿/漏水/漏气人群；盆底松弛/盆底无力；盆底高张/疼痛不适,1,fv_0001,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,30岁/30+女性；女性/姐妹,1,fv_0017,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,30岁/30+女性；女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0094,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,35岁以后女性；产后妈妈/宝妈；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀；练错动作/误区人群,1,fv_0002,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,40岁/40+女性；女性/姐妹；漏尿/漏水/漏气人群；盆底松弛/盆底无力,1,fv_0026,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈,1,fv_0049,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹；盆底松弛/盆底无力,1,fv_0036,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹；盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀,1,fv_0058,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；小腹凸/悬垂腹/腹压问题；膨出/脱垂/下垂,1,fv_0050,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0100,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；盆底松弛/盆底无力,1,fv_0011,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；盆底松弛/盆底无力,1,fv_0095,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀；练错动作/误区人群,1,fv_0030,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；盆底高张/疼痛不适,1,fv_0056,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；练错动作/误区人群,1,fv_0048,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；膨出/脱垂/下垂,1,fv_0057,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；漏尿/漏水/漏气人群,1,fv_0013,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；漏尿/漏水/漏气人群；盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀,1,fv_0078,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；练错动作/误区人群,1,fv_0012,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0038,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；盆底松弛/盆底无力；膨出/脱垂/下垂,1,fv_0086,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；练错动作/误区人群,1,fv_0007,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；臀凹陷/妈妈臀/扁平臀,1,fv_0072,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,小腹凸/悬垂腹/腹压问题；练错动作/误区人群,1,fv_0099,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,小腹凸/悬垂腹/腹压问题；膨出/脱垂/下垂,1,fv_0079,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0042,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；练错动作/误区人群,1,fv_0068,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；膨出/脱垂/下垂,1,fv_0010,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀,1,fv_0062,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,膨出/脱垂/下垂,1,fv_0064,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,漏尿漏水尴尬；盆底松弛无力；盆底高张疼痛,盆底松弛无力,41,fv_0001；fv_0002；fv_0005；fv_0006；fv_0010；fv_0011；fv_0012；fv_0014,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,盆底松弛无力；小腹凸/腹压/悬垂腹；妈妈臀/臀凹陷/臀扁平；假胯宽/骨盆外翻/体态问题,假胯宽/骨盆外翻/体态问题,32,fv_0002；fv_0004；fv_0007；fv_0012；fv_0018；fv_0020；fv_0027；fv_0032,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,盆底松弛无力；小腹凸/腹压/悬垂腹；妈妈臀/臀凹陷/臀扁平；假胯宽/骨盆外翻/体态问题,妈妈臀/臀凹陷/臀扁平,22,fv_0002；fv_0016；fv_0030；fv_0032；fv_0033；fv_0038；fv_0041；fv_0042,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,漏尿漏水尴尬；盆底松弛无力；盆底高张疼痛,漏尿漏水尴尬,22,fv_0001；fv_0009；fv_0011；fv_0013；fv_0014；fv_0015；fv_0026；fv_0034,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,练错动作/误区,练错动作/误区,20,fv_0003；fv_0005；fv_0007；fv_0008；fv_0009；fv_0012；fv_0014；fv_0015,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,盆底松弛无力；小腹凸/腹压/悬垂腹；妈妈臀/臀凹陷/臀扁平；假胯宽/骨盆外翻/体态问题,小腹凸/腹压/悬垂腹,14,fv_0002；fv_0012；fv_0038；fv_0042；fv_0050；fv_0067；fv_0068；fv_0069,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,无明确痛点触发,无明确痛点触发,8,fv_0017；fv_0022；fv_0024；fv_0043；fv_0048；fv_0066；fv_0070；fv_0084,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,盆底松弛无力；膨出脱垂/下垂,膨出脱垂/下垂,6,fv_0010；fv_0050；fv_0057；fv_0064；fv_0079；fv_0086,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,假胯宽/骨盆外翻/体态问题；练错动作/误区；抗衰/好状态焦虑,抗衰/好状态焦虑,3,fv_0040；fv_0047；fv_0087,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
痛点触发,漏尿漏水尴尬；盆底松弛无力；盆底高张疼痛,盆底高张疼痛,2,fv_0001；fv_0056,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,盆底紧致/八爪鱼/抓握力；漏尿漏水改善,盆底紧致/八爪鱼/抓握力,35,fv_0001；fv_0002；fv_0004；fv_0005；fv_0009；fv_0010；fv_0014；fv_0017,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,无明确结果触发,无明确结果触发,33,fv_0003；fv_0006；fv_0007；fv_0008；fv_0011；fv_0012；fv_0013；fv_0027,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,小腹平/肚子平；臀翘/臀饱满/蜜桃臀；盆底紧致/八爪鱼/抓握力,臀翘/臀饱满/蜜桃臀,21,fv_0002；fv_0016；fv_0020；fv_0032；fv_0033；fv_0038；fv_0041；fv_0042,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,盆底紧致/八爪鱼/抓握力；漏尿漏水改善,漏尿漏水改善,13,fv_0001；fv_0015；fv_0034；fv_0045；fv_0051；fv_0052；fv_0055；fv_0074,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,盆底紧致/八爪鱼/抓握力；腰细/胯小/腿细,腰细/胯小/腿细,13,fv_0004；fv_0032；fv_0033；fv_0036；fv_0046；fv_0062；fv_0068；fv_0074,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,小腹平/肚子平；臀翘/臀饱满/蜜桃臀；盆底紧致/八爪鱼/抓握力,小腹平/肚子平,12,fv_0002；fv_0031；fv_0038；fv_0040；fv_0041；fv_0042；fv_0067；fv_0071,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结果触发,盆底紧致/八爪鱼/抓握力；体态改善/抗衰状态,体态改善/抗衰状态,8,fv_0024；fv_0032；fv_0033；fv_0040；fv_0047；fv_0066；fv_0073；fv_0087,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
风险触发,医学/健康边界风险；效果承诺风险,效果承诺风险,63,fv_0001；fv_0002；fv_0003；fv_0005；fv_0010；fv_0011；fv_0013；fv_0015,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
风险触发,越练越糟风险；单一方法过度承诺；医学/健康边界风险,单一方法过度承诺,45,fv_0014；fv_0015；fv_0016；fv_0017；fv_0029；fv_0030；fv_0031；fv_0051,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
风险触发,医学/健康边界风险；效果承诺风险,医学/健康边界风险,18,fv_0001；fv_0009；fv_0010；fv_0011；fv_0013；fv_0014；fv_0015；fv_0026,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
风险触发,无明确风险触发,无明确风险触发,18,fv_0004；fv_0006；fv_0008；fv_0023；fv_0024；fv_0028；fv_0037；fv_0039,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
风险触发,高发误区/比例刺激；越练越糟风险；医学/健康边界风险,高发误区/比例刺激,4,fv_0009；fv_0012；fv_0040；fv_0068,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
风险触发,越练越糟风险,越练越糟风险,3,fv_0007；fv_0009；fv_0014,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,分步口令/计数教学；图解/解剖辅助说明,分步口令/计数教学,79,fv_0001；fv_0003；fv_0005；fv_0006；fv_0008；fv_0010；fv_0011；fv_0012,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,分步口令/计数教学；图解/解剖辅助说明,图解/解剖辅助说明,37,fv_0001；fv_0003；fv_0005；fv_0006；fv_0010；fv_0018；fv_0019；fv_0021,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,单动作循环演示,单动作循环演示,34,fv_0002；fv_0004；fv_0008；fv_0012；fv_0016；fv_0017；fv_0023；fv_0027,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,错误-正确对比拆解；分步口令/计数教学；图解/解剖辅助说明,错误-正确对比拆解,28,fv_0003；fv_0007；fv_0008；fv_0009；fv_0012；fv_0016；fv_0017；fv_0019,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,错误-正确对比拆解；原因解释/归因讲解,原因解释/归因讲解,17,fv_0009；fv_0011；fv_0013；fv_0014；fv_0015；fv_0018；fv_0019；fv_0020,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,错误-正确对比拆解；分步口令/计数教学；多动作组合演示,多动作组合演示,12,fv_0030；fv_0047；fv_0089；fv_0090；fv_0091；fv_0092；fv_0093；fv_0094,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
中段交付,多角度动作演示+功能说明,多角度动作演示+功能说明,1,fv_0062,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结尾收束,轻行动/跟练指令收束,轻行动/跟练指令收束,60,fv_0001；fv_0004；fv_0006；fv_0007；fv_0011；fv_0013；fv_0014；fv_0015,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结尾收束,结果/价值重申收束,结果/价值重申收束,22,fv_0002；fv_0008；fv_0010；fv_0012；fv_0020；fv_0023；fv_0027；fv_0028,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结尾收束,动作完成/视觉定型收束,动作完成/视觉定型收束,10,fv_0003；fv_0005；fv_0039；fv_0049；fv_0050；fv_0052；fv_0057；fv_0060,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
结尾收束,风险提醒收束,风险提醒收束,8,fv_0009；fv_0026；fv_0041；fv_0042；fv_0044；fv_0054；fv_0055；fv_0095,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
