formula_id,old_structure_formula,current_sample_count,editor_usable_score_avg,live_screening_transfer_score_avg,main_problem,recommended_action,new_formula_name,why,example_video_ids,manual_review_required
formula_001,人群点名 + 低门槛动作 + 坚持建议,18,2.78,2.44,旧公式过宽，把年龄、人群、结果承诺和低门槛动作混在一起；当前第一阶段需要拆出动作证据和禁用条件。,split,人群/年龄点名 + 同题动作证据 + 轻跟练收束,适合做第一阶段入口结构，但必须补动作完整循环、发力点、次数/方向/呼吸证据。,cfv_0001；cfv_0016；cfv_0021；cfv_0027；cfv_0050；cfv_0051；cfv_0054；cfv_0055,yes
formula_002,痛点可视化 + 解决方案 + 效果对比 + 行动指令,68,3.00,1.29,旧公式中的效果对比容易被误写成业务效果成立；当前只能作为结构和证据要求。,rename,痛点/结果可视化 + 操作过程证据 + 低压行动,可保留为高频剪辑结构，但要弱化效果承诺并强制人工复核健康/体型说法。,cfv_0031；cfv_0033；cfv_0034；cfv_0035；cfv_0042；cfv_0043；cfv_0046；cfv_0047,yes
formula_003,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,28,3.00,2.36,与低门槛动作公式高度重叠；差异不在标签，而在痛点是否被动作同题兑现。,merge,痛点/人群点名 + 单动作完整循环 + 坚持建议,建议并入动作证据结构，剪辑师按痛点、动作完整性和结尾收束判断。,cfv_0010；cfv_0030；cfv_0032；cfv_0036；cfv_0037；cfv_0038；cfv_0039；cfv_0040,yes
formula_004,痛点问题 + 原因解释 + 方法交付,15,3.00,3.00,适合直播素材筛选，但需要完整口播主语和原因链，不能只截问题句。,keep,痛点问题 + 原因解释 + 方法交付,对长口播、问答和健康边界解释有用，可指导起止点。,cfv_0002；cfv_0011；cfv_0013；cfv_0018；cfv_0019；cfv_0020；cfv_0022；cfv_0023,yes
formula_005,错误动作 + 正确动作 + 原因解释,3,3.00,3.00,旧公式适配第一阶段，但必须看得出错在哪里、正确在哪里。,keep,错误/误区先抛 + 正确动作对比 + 原因解释,适合直播素材筛选，尤其适合从长录屏里抓误区纠正段。,cfv_0009；cfv_0014；cfv_0015,yes
formula_006,反面案例 + 原因解释 + 正确做法,0,0.00,0.00,当前素材里反面案例与错误纠正边界重叠，单独保留会增加剪辑师判断成本。,merge,错误/误区先抛 + 正确动作对比 + 原因解释,并入错误纠正结构，保留反面案例作为开头证据形态。,,yes
formula_007,结果前置 + 操作过程 + 注意事项,0,0.00,0.00,适合短成片复盘，但直播素材筛选时需要额外确认注意事项和健康边界。,keep,结果前置 + 操作过程 + 注意事项/风险边界,可保留，但第一阶段优先级低于痛点、误区和动作证据结构。,,yes
formula_008,待视觉复核：文件名无足够结构信息,33,2.09,1.97,当前命中不足或无法只靠元数据判断,pending_visual_review,待视觉复核,需要关键帧或人工复核,cfv_0003；cfv_0004；cfv_0005；cfv_0006；cfv_0007；cfv_0008；cfv_0012；cfv_0028,yes
new_009,new_candidate,37,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/结果可视化 + 单动作循环演示 + 低压行动,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0031；cfv_0046；cfv_0047；cfv_0052；cfv_0057；cfv_0058；cfv_0059；cfv_0060；cfv_0064；cfv_0068；cfv_0069；cfv_0070,yes
new_010,new_candidate,33,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,待视觉复核：需关键帧/人工判断后定公式,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0003；cfv_0004；cfv_0005；cfv_0006；cfv_0007；cfv_0008；cfv_0012；cfv_0028；cfv_0029；cfv_0049；cfv_0062；cfv_0063,yes
new_011,new_candidate,30,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/结果可视化 + 工具辅助动作 + 低压行动,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0033；cfv_0034；cfv_0035；cfv_0042；cfv_0043；cfv_0053；cfv_0056；cfv_0065；cfv_0066；cfv_0080；cfv_0081；cfv_0082,yes
new_012,new_candidate,17,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/人群点名 + 单动作循环演示 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0030；cfv_0048；cfv_0096；cfv_0107；cfv_0109；cfv_0111；cfv_0112；cfv_0113；cfv_0117；cfv_0152；cfv_0153；cfv_0154,yes
new_013,new_candidate,11,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/人群点名 + 工具辅助动作 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0010；cfv_0032；cfv_0036；cfv_0037；cfv_0038；cfv_0039；cfv_0040；cfv_0041；cfv_0044；cfv_0119；cfv_0124,yes
new_014,new_candidate,9,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,人群/年龄点名 + 单动作循环演示 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0001；cfv_0016；cfv_0050；cfv_0051；cfv_0061；cfv_0098；cfv_0101；cfv_0146；cfv_0147,yes
new_015,new_candidate,9,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（盆底松弛无力）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0002；cfv_0018；cfv_0019；cfv_0020；cfv_0022；cfv_0023；cfv_0024；cfv_0025；cfv_0026,yes
new_016,new_candidate,7,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,人群/年龄点名 + 动作证据待视觉复核 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0021；cfv_0054；cfv_0055；cfv_0099；cfv_0134；cfv_0148；cfv_0150,yes
new_017,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（漏尿漏水尴尬）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0011；cfv_0013,yes
new_018,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,误区/错误先抛 + 正确动作对比 + 原因解释（漏尿漏水尴尬）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0014；cfv_0015,yes
new_019,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,人群/年龄点名 + 图解/解剖辅助说明 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0027；cfv_0149,yes
new_020,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（泛身体状态/待视觉复核）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0045；cfv_0162,yes
new_021,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（膨出脱垂/下垂）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0159；cfv_0166,yes
new_022,new_candidate,1,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,误区/错误先抛 + 正确动作对比 + 原因解释（盆底松弛无力）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0009,yes
new_023,new_candidate,1,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/结果可视化 + 图解/解剖辅助说明 + 低压行动,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0145,yes
