window_id,recording_id,window_start,window_end,ali_model_called,primary_model,primary_status,high_review_called,high_model,high_status,analysis_route,summary_local_path_ignored,failed_reason
rec_001_w001,rec_001,00:00:00.000,00:03:00.000,yes,qwen3-vl-plus,success,no,,,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w001.json,
rec_001_w002,rec_001,00:02:50.000,00:05:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w002.json,
rec_001_w003,rec_001,00:05:40.000,00:08:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w003.json,
rec_001_w004,rec_001,00:08:30.000,00:11:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w004.json,
rec_001_w005,rec_001,00:11:20.000,00:14:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w005.json,
rec_001_w006,rec_001,00:14:10.000,00:17:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w006.json,
rec_001_w007,rec_001,00:17:00.000,00:20:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w007.json,
rec_001_w008,rec_001,00:19:50.000,00:22:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w008.json,
rec_001_w009,rec_001,00:22:40.000,00:25:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w009.json,
rec_001_w010,rec_001,00:25:30.000,00:28:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w010.json,
rec_001_w011,rec_001,00:28:20.000,00:31:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w011.json,
rec_001_w012,rec_001,00:31:10.000,00:34:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w012.json,
rec_001_w013,rec_001,00:34:00.000,00:37:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w013.json,
rec_001_w014,rec_001,00:36:50.000,00:39:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w014.json,
rec_001_w015,rec_001,00:39:40.000,00:42:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w015.json,
rec_001_w016,rec_001,00:42:30.000,00:45:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w016.json,
rec_001_w017,rec_001,00:45:20.000,00:48:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w017.json,
rec_001_w018,rec_001,00:48:10.000,00:51:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w018.json,
rec_001_w019,rec_001,00:51:00.000,00:54:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w019.json,
rec_001_w020,rec_001,00:53:50.000,00:56:50.000,yes,qwen3-vl-plus,success,no,,,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w020.json,
rec_001_w021,rec_001,00:56:40.000,00:59:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w021.json,
rec_001_w022,rec_001,00:59:30.000,01:02:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w022.json,
rec_001_w023,rec_001,01:02:20.000,01:05:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w023.json,
rec_001_w024,rec_001,01:05:10.000,01:08:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w024.json,
rec_001_w025,rec_001,01:08:00.000,01:11:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w025.json,
rec_001_w026,rec_001,01:10:50.000,01:13:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w026.json,
rec_001_w027,rec_001,01:13:40.000,01:16:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w027.json,
rec_001_w028,rec_001,01:16:30.000,01:19:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w028.json,
rec_001_w029,rec_001,01:19:20.000,01:22:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w029.json,
rec_001_w030,rec_001,01:22:10.000,01:25:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w030.json,
rec_001_w031,rec_001,01:25:00.000,01:28:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w031.json,
rec_001_w032,rec_001,01:27:50.000,01:30:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w032.json,
rec_001_w033,rec_001,01:30:40.000,01:33:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w033.json,
rec_001_w034,rec_001,01:33:30.000,01:36:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w034.json,
rec_001_w035,rec_001,01:36:20.000,01:39:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w035.json,
rec_001_w036,rec_001,01:39:10.000,01:42:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w036.json,
rec_001_w037,rec_001,01:42:00.000,01:45:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w037.json,
rec_001_w038,rec_001,01:44:50.000,01:47:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w038.json,
rec_001_w039,rec_001,01:47:40.000,01:49:20.554,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_001_w039.json,
rec_002_w001,rec_002,00:00:00.000,00:03:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w001.json,
rec_002_w002,rec_002,00:02:50.000,00:05:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w002.json,
rec_002_w003,rec_002,00:05:40.000,00:08:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w003.json,
rec_002_w004,rec_002,00:08:30.000,00:11:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w004.json,
rec_002_w005,rec_002,00:11:20.000,00:14:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w005.json,
rec_002_w006,rec_002,00:14:10.000,00:17:10.000,yes,qwen3-vl-plus,success,no,,,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w006.json,
rec_002_w007,rec_002,00:17:00.000,00:20:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w007.json,
rec_002_w008,rec_002,00:19:50.000,00:22:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w008.json,
rec_002_w009,rec_002,00:22:40.000,00:25:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w009.json,
rec_002_w010,rec_002,00:25:30.000,00:28:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w010.json,
rec_002_w011,rec_002,00:28:20.000,00:31:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w011.json,
rec_002_w012,rec_002,00:31:10.000,00:34:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w012.json,
rec_002_w013,rec_002,00:34:00.000,00:37:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w013.json,
rec_002_w014,rec_002,00:36:50.000,00:39:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w014.json,
rec_002_w015,rec_002,00:39:40.000,00:42:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w015.json,
rec_002_w016,rec_002,00:42:30.000,00:45:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w016.json,
rec_002_w017,rec_002,00:45:20.000,00:48:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w017.json,
rec_002_w018,rec_002,00:48:10.000,00:51:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w018.json,
rec_002_w019,rec_002,00:51:00.000,00:54:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w019.json,
rec_002_w020,rec_002,00:53:50.000,00:56:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w020.json,
rec_002_w021,rec_002,00:56:40.000,00:59:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w021.json,
rec_002_w022,rec_002,00:59:30.000,01:02:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w022.json,
rec_002_w023,rec_002,01:02:20.000,01:05:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w023.json,
rec_002_w024,rec_002,01:05:10.000,01:08:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w024.json,
rec_002_w025,rec_002,01:08:00.000,01:11:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w025.json,
rec_002_w026,rec_002,01:10:50.000,01:13:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w026.json,
rec_002_w027,rec_002,01:13:40.000,01:16:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w027.json,
rec_002_w028,rec_002,01:16:30.000,01:19:30.000,yes,qwen3-vl-plus,success,no,,,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w028.json,
rec_002_w029,rec_002,01:19:20.000,01:22:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w029.json,
rec_002_w030,rec_002,01:22:10.000,01:25:10.000,yes,qwen3-vl-plus,success,no,,,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w030.json,
rec_002_w031,rec_002,01:25:00.000,01:28:00.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w031.json,
rec_002_w032,rec_002,01:27:50.000,01:30:50.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w032.json,
rec_002_w033,rec_002,01:30:40.000,01:33:40.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w033.json,
rec_002_w034,rec_002,01:33:30.000,01:36:30.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w034.json,
rec_002_w035,rec_002,01:36:20.000,01:39:20.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w035.json,
rec_002_w036,rec_002,01:39:10.000,01:42:10.000,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w036.json,
rec_002_w037,rec_002,01:42:00.000,01:43:03.677,yes,qwen3-vl-plus,success,yes,qwen-vl-max,success,full_coverage_window_ffmpeg_frames_to_ali_vision_contact_sheet,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/live_recording_formal_simulation_2_videos/model_summaries/rec_002_w037.json,
