video_id,source_category,file_name,content_archetype,route_decision,opening_type,opening_summary,problem_phrase_time,first_action_frame_time,problem_action_bridge_seconds,action_method_summary,action_cycle_integrity,tts_action_alignment,subtitle_evidence,visual_evidence_timecodes,middle_delivery_type,ending_type,native_completeness_score,repackaging_value_score,teachability_score,positive_pattern_match,negative_pattern_match,needs_adjacent_merge,need_merge_previous,need_merge_next,candidate_status,business_risk,health_action_risk,manual_review_items,confidence,analysis_status
fv_0003,ai_needed_final_video,4月17日(1).mp4,movement_correction,positive_reference_only,误区错误,00:00:00.000（侧身扶杆骨盆前倾）、00:00:01.000（手臂上举时腰代偿）体现典型错误模式,00:00:00.000,00:00:04.924,4.924,对比演示、分步调整、静态定型,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,前3帧为同一人物在镜前做侧屈伸展，骨盆前倾明显；第4帧切换至仰卧位错误卷腹；第5-6帧为站姿下肢错误动作；最后2帧为正面伸展与闭眼放松。无可见字幕，动作连续性依赖姿态变化而非运镜,00:00:00.000；00:00:01.000；00:00:04.924；00:00:08.753；00:00:13.129；00:00:17.506；00:00:21.882；00:00:27.003,对比演示、分步调整、静态定型,动作完成、视觉收束,5,4,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,未明确提示禁忌症、动作幅度无安全边界说明,health_action_risk_pending_professional_review,第4帧仰卧动作是否真为错误示范（需确认髋屈肌代偿细节）；最后两帧是否含微表情/呼吸节奏暗示（影响收尾有效性）,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0004,ai_needed_final_video,5月26日 (2).mp4,single_action_tts_teaching,positive_reference_only,人群点名,00:00:00.000–00:00:02.198：连续三帧显示相同背影坐姿+固定字幕‘30+女性必练 越练越紧’，构成强人群+痛点开场,00:00:00.000,00:00:03.908,3.908,动作演示、口令节奏暗示（通过重复帧位变化）,complete_or_key_cycle_visible_visual_only,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,全片仅一人示范；始终背对/侧对镜头；使用粉色瑜伽球辅助；字幕全程固定为‘30+女性必练 越练越紧’；动作在坐姿范围内循环变换（跪坐→盘坐→开胯坐→扭转），无讲解画面或图解；无口型可见，无额外字幕变化,00:00:00.000；00:00:00.977；00:00:02.198；00:00:03.908；00:00:05.862；00:00:07.816；00:00:09.770；00:00:11.863,动作演示、口令节奏暗示（通过重复帧位变化）,动作完成+视觉定格,5,5,4,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,未说明‘紧’的具体部位与机制，易引发误解,health_action_risk_pending_professional_review,字幕‘越练越紧’是否构成健康误导；动作是否涉及骨盆/骶髂关节高风险操作而无警示,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0005,ai_needed_final_video,5月26日(1).mp4,movement_correction,positive_reference_only,结果承诺,00:00:00.000：主讲人坐姿展示‘八爪鱼’姿势，大字幕‘八爪鱼 越练越紧’，下方图示对比‘正常盆底肌’与‘盆底肌松弛’，顶部标题‘盆底肌瑜伽球 练了就知道有多紧了’已出现，构成结果式开场,00:00:00.000,00:00:01.000,1,动作演示；图解；口令；对比,complete_or_key_cycle_visible_visual_only,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面始终为单人室内坐姿演示，使用粉色瑜伽球；每帧含顶部标题‘盆底肌瑜伽球 练了就知道有多紧了’；底部固定图解对比盆底肌状态；左上角小图随帧变化；中段出现呼吸口令字幕；无背景切换或多人出镜；所有动作均为同一姿势的细微调整，未出现独立错误动作示范,00:00:00.000；00:00:01.000；00:00:02.545；00:00:04.525；00:00:06.788；00:00:09.050；00:00:11.313；00:00:13.791,动作演示；图解；口令；对比,动作完成；口型强调,5,5,4,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,将‘越练越紧’等同于盆底肌功能改善，存在医学表述模糊风险,health_action_risk_pending_professional_review,‘越练越紧’是否误导为肌肉紧张即有效；图解中‘松弛’状态是否符合医学定义；呼吸口令与实际动作时序是否同步,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0006,ai_needed_final_video,5月26日.mp4,single_action_tts_teaching,positive_reference_only,痛点可视化,00:00:00.000（‘八爪鱼越练越紧’大字+图示对比）,00:00:00.000,00:00:01.000,1,呼吸口令、坐姿动作演示、图解对比,complete_or_key_cycle_visible_visual_only,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面中女性坐于瑜伽球上，双腿外展；字幕反复强调‘盆底肌瑜伽球’‘练了就知道有多紧了’；下方固定图解对比‘正常盆底肌’与‘盆底肌松弛’；每帧均有‘吸气打开 呼气收紧’口令；动作从手扶髋→手放膝→轻触腹部→回归膝上，呈呼吸节奏性微调,00:00:00.000；00:00:01.000；00:00:02.545；00:00:04.525；00:00:06.788；00:00:09.050；00:00:11.313；00:00:13.791,呼吸口令、坐姿动作演示、图解对比,动作完成+呼吸收束,5,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,‘越练越紧’易误解为肌肉僵硬而非激活；未明确适用禁忌人群,health_action_risk_pending_professional_review,图解中盆底肌形态是否符合解剖常识；‘越练越紧’是否易引发负面联想需优化措辞,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0007,ai_needed_final_video,5月27日 (1).mp4,movement_correction,positive_reference_only,痛点可视化,00:00:00.000：字幕‘盆底肌高张疼痛 睡前滚一滚’+人物侧坐位错误姿势（骨盆后倾、腰椎代偿）,00:00:00.000,00:00:01.000,1,动作演示；字幕解释,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面中人物全程使用粉色球置于坐骨结节下方进行髋关节外旋伸展；前两帧显示骨盆后倾+腰椎塌陷（错误），后续帧逐步调整为骨盆中立+脊柱延展（正确）；所有帧均有黄色字幕‘别再瞎练凯格尔 每天睡前跟练5分钟’；首帧额外叠加‘盆底肌高张疼痛 睡前滚一滚’字幕；无口播文字可见，仅靠画面与字幕传递信息,00:00:00.000；00:00:01.000；00:00:04.029；00:00:07.163；00:00:10.744；00:00:14.326；00:00:17.907；00:00:22.034,动作演示；字幕解释,动作完成,5,5,3,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,医学健康边界：未说明适用禁忌症；效果承诺：隐含‘缓解疼痛’但无临床依据,health_action_risk_pending_professional_review,字幕‘盆底肌高张疼痛’是否构成医疗宣称；‘别再瞎练凯格尔’是否构成对他人方法的贬损性表述,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0008,ai_needed_final_video,5月27日.mp4,movement_correction,positive_reference_only,痛点可视化,00:00:00.000–00:00:02.972：展示臀部凹陷姿态+字幕‘产后臀凹陷妈妈臀 练这个就完事了’，构成痛点可视化开场,00:00:00.000,00:00:05.283,5.283,动作演示；对比；发力点提示,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面中人物坐椅做髋部微蹲类动作；前两帧突出臀部凹陷形态并配痛点文字；后续帧统一显示标准动作位+黄色训练指令字幕+右侧‘不会发力看这里’竖排提示；无口播文字可见，仅字幕信息,00:00:00.000；00:00:01.000；00:00:02.972；00:00:05.283；00:00:07.924；00:00:10.566；00:00:13.207；00:00:16.159,动作演示；对比；发力点提示,动作完成；结果重申,5,5,4,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,不会发力看这里（隐含效果依赖正确执行，但未明确医学边界）,health_action_risk_pending_professional_review,‘不会发力看这里’是否在全片持续出现且位置稳定；字幕‘练这个就完事了’是否存在过度承诺风险,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0001,ai_needed_final_video,30+产后妈妈居家必练动作.mp4,single_action_tts_teaching,positive_reference_only,人群点名,00:00:00.000（主讲人正面坐姿，大字幕‘30+产后妈妈 居家必练动作’）,00:00:00.000,00:00:00.849,0.849,动作演示；字幕指令；叠影过渡；重复强化,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面为同一女性在椅上完成四组动作：前两帧为‘漏尿松弛’对应提臀动作（背对镜头），后两帧为‘高张疼痛’与‘盆底Jz’对应震颤动作（侧身视角）；所有动作均配黄色大字幕标注问题+动作+次数；右侧小字竖排‘本方法为辅助改善方式’；无口播画面可见，仅字幕与动作；叠影用于动作过渡，但未改变结构逻辑,00:00:00.000；00:00:00.849；00:00:01.910；00:00:03.396；00:00:05.093；00:00:06.791；00:00:08.489；00:00:10.261,动作演示；字幕指令；叠影过渡；重复强化,动作完成；字幕收束,5,5,3,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,未说明禁忌症；重复‘100次’可能引发过度训练暗示；‘盆底Jz’术语模糊,health_action_risk_pending_professional_review,‘100次’是否构成效果承诺；‘盆底Jz’术语是否准确且需注解；叠影是否造成动作理解混淆,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0002,ai_needed_final_video,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,single_action_tts_teaching,positive_reference_only,人群点名,00:00:00.000–00:00:02.115：背对镜头坐姿启动，字幕完整呈现‘35岁以后都去练…最重要的是可以锻炼盆底肌’，画面同步演示坐姿准备态,00:00:00.000,00:00:03.760,3.76,动作演示；身体姿态微调,complete_or_key_cycle_visible_visual_only,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,8帧均为同一女性在室内沙发背景前，坐于椅子+瑜伽球上执行重复性骨盆运动；字幕全程未变；前4帧背对，后4帧转为正面半身；无器械更换、无场景切换、无他人出镜；右上角图标轮换（蝴蝶结/鱼/海豚等装饰图）,00:00:00.000；00:00:00.940；00:00:02.115；00:00:03.760；00:00:05.640；00:00:07.519；00:00:09.399；00:00:11.399,动作演示；身体姿态微调,动作完成；价值收束,5,5,4,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,每天100个（量化强度无个体差异提示）；不管生完多久了（忽略产后恢复窗口期差异）,health_action_risk_pending_professional_review,字幕中‘每天100个’是否匹配动作实际耗时与强度；‘锻炼盆底肌’是否由该动作科学支撑（需医学核验）；右上角图标轮换是否有误导性（如鱼/海豚暗示水疗等无关联想）,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0009,ai_needed_final_video,70%女性中招的盆底肌误区.mp4,unclear,positive_reference_only,人群点名,00:00:00.000（标题页：70%女性中招的盆底肌误区；配图蜷缩女性）+ 00:00:01.000（主讲人开场：很多人都在问我说）,00:00:00.000,00:00:11.841,11.841,口述归因；手势模拟身体部位；表情强化不适感,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,首帧为图文标题+蜷缩女性形象；后续7帧均为同一主讲人坐姿讲解，配合手部动作指向颈部/腹部区域，字幕逐句呈现‘很多人在问我’‘肩颈劳损时’‘感觉很堵塞’‘盆底肌’‘松在这里’‘评论区留言’；背景书架统一，无场景切换；每帧右上角有固定水印文字‘十五年女性健康行业经验’；底部有小字免责声明‘本内容仅为科普分享…’,00:00:00.000；00:00:01.000；00:00:11.841；00:00:21.050；00:00:31.575；00:00:42.100；00:00:52.626；00:01:05.432,口述归因；手势模拟身体部位；表情强化不适感,互动引导；轻行动号召,5,4,3,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,将‘松’直接等同于盆底肌状态可能引发误解；未明确区分主观感受与临床诊断,health_action_risk_pending_professional_review,‘松在我这里真的是’是否易被理解为诊断结论；蜷缩女性图像是否构成负面身体暗示；水印文字‘十五年经验’是否需同步资质证明,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0010,ai_needed_final_video,Z宫下垂盆底无力就练臀桥呼吸.mp4,single_action_tts_teaching,positive_reference_only,痛点可视化,00:00:00.000：大字幕‘Z宫下垂盆底无力 就练臀桥呼吸’+人物仰卧准备位；00:00:01.000：延续同一画面，字幕‘每天练习十分钟 下垂说拜拜’,00:00:00.000,00:00:14.323,14.323,动作演示；解剖图示；口令引导；呼吸节奏提示,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面始终为单人仰卧位臀桥准备/执行状态；左上角固定标题‘每天练习十分钟 下垂说拜拜’；右侧持续出现子宫解剖对比图（正常vs脱垂）；字幕依次呈现痛点→原理→呼吸指令→动作要点→倒计时；无口播画面，仅字幕引导；人物动作从准备到顶峰保持连贯，无明显中断,00:00:00.000；00:00:01.000；00:00:14.323；00:00:25.464；00:00:38.196；00:00:50.928；00:01:03.660；00:01:19.225,动作演示；解剖图示；口令引导；呼吸节奏提示,数字计数强化；动作完成,5,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,将‘Z宫下垂’作为可自练改善的明确指向，未标注需医疗评估前提；‘就练臀桥呼吸’构成直接效果承诺,pending_user_review,‘Z宫下垂’表述是否合规；解剖图示准确性；‘就练臀桥呼吸’是否构成效果承诺；倒计时是否覆盖完整动作保持期,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0011,ai_needed_final_video,产后漏尿能自己好吗.mp4,knowledge_explainer,positive_reference_only,痛点可视化,00:00:00.000（蜷坐女性+大字标题‘产后漏尿能否自愈’）,00:00:00.000,00:00:21.190,21.19,口述认知纠偏；体态调整引导,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,首帧为蜷坐女性+标题‘产后漏尿能否自愈’；后续多帧为红衣女性坐书架前口播，字幕含‘如果说你想’‘你就可以不用管它’‘它突然哪一天它就不漏了’‘但是你没有调整你的体态’‘我想跟所有的姐妹们’‘更有安全感的身体’；画面右上角固定标注‘十五年女性健康行业经验’；底部统一小字‘本内容仅为科普分享，请结合自身情况理性参考’,00:00:00.000；00:00:01.000；00:00:21.190；00:00:37.672；00:00:56.508；00:01:15.344；00:01:34.180；00:01:57.375,口述认知纠偏；体态调整引导,价值收束,5,5,3,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,它突然哪一天它就不漏了（暗示自愈可能性，未明确限定条件）,health_action_risk_pending_professional_review,‘它突然哪一天它就不漏了’是否构成效果过度承诺；‘十五年女性健康行业经验’是否涉及资质暗示,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0012,ai_needed_final_video,你的小肚子凸可能不是胖.mp4,movement_correction,positive_reference_only,痛点可视化,00:00:00.000：主讲人单膝跪姿，字幕‘你的小肚子凸可能不是胖’+‘小腹下坠 骨盆前倾 不见啦！’，明确痛点可视化,00:00:00.000,00:00:09.993,9.993,动作演示；口令；数字计数,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面始终为同一女性在室内垫上示范跪姿侧弓步类动作；字幕反复强调‘左右交替进行 10次一组做3组’及数字计数；首帧突出‘小肚子凸可能不是胖’痛点；中段无明显错误动作单独演示帧，但‘采用跪姿’字样出现在00:00:01.000帧，暗示对常规站姿的修正；结尾无额外讲解或总结性字幕,00:00:00.000；00:00:01.000；00:00:09.993；00:00:17.766；00:00:26.649；00:00:35.532；00:00:44.415；00:00:55.169,动作演示；口令；数字计数,动作完成；数字强化,5,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,骨盆前倾表述需医学依据支持，避免将体态问题简化为单一动作可解决,health_action_risk_pending_professional_review,‘骨盆前倾不见啦’是否构成医疗效果承诺；‘采用跪姿’是否对应真实常见错误姿势（如站立骨盆前倾）；字幕中‘10次一组做3组’是否与实际动作节奏匹配,medium,reused_existing_ali_recheck_success_no_new_api_call
fv_0013,ai_needed_final_video,先减肥还是先改善漏尿.mp4,problem_solution,positive_reference_only,痛点可视化,00:00:00.000（蜷坐女性+标题‘先减肥？还是先改善漏尿？90%的人都选错了’）→00:00:01.000（主讲人出场+字幕‘你是先减肥’）,00:00:00.000,00:00:10.896,10.896,原因解释；口令式引导；选择建议,pending_manual_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,首帧为蜷坐女性+大字标题‘先减肥？还是先改善漏尿？90%的人都选错了’；后续7帧均为同一主讲人坐书架前讲解，字幕依次出现‘你是先减肥’‘但是很多人呢’‘其实是要先进行评估’‘达不到很好的效果的时候’‘减少腹部压力’‘来去选择’‘我也可以给你分析分析’；每帧右上角有竖排小字‘十五年女性健康行业经验’；底部统一标注‘本内容仅为科普分享，请结合自身情况理性参考’,00:00:00.000；00:00:01.000；00:00:10.896；00:00:19.371；00:00:29.056；00:00:38.742；00:00:48.427；00:01:00.184,原因解释；口令式引导；选择建议,轻行动；结果重申,5,4,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,90%的人都选错了（绝对化表述）；改善漏尿”未说明医学前提,health_action_risk_pending_professional_review,‘90%的人都选错了’数据来源是否可证；‘改善漏尿’是否需加‘症状缓解’等限定词,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0014,ai_needed_final_video,别再疯狂练收紧可能越练越漏尿.mp4,single_action_tts_teaching,positive_reference_only,痛点可视化,00:00:00.000（左侧图：蜷缩抱膝女性+大字幕‘别再疯狂练收紧 可能越练越漏尿’）,00:00:00.000,00:00:01.000,1,口令强调；动作示意（手势指向）；对比陈述（收紧vs放松）,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,首帧为蹲坐抱膝女性+红黑警示字幕；后续7帧均为同一女性在书架前讲解，穿红色上衣，配合手势与字幕推进观点；字幕含‘十五年女性健康行业经验’水印；无实际动作演示，仅有手部示意；结尾帧为微笑+‘来找我’字幕,00:00:00.000；00:00:01.000；00:00:07.878；00:00:14.006；00:00:21.009；00:00:28.012；00:00:35.015；00:00:43.419,口令强调；动作示意（手势指向）；对比陈述（收紧vs放松）,轻行动；价值收束,5,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,医学健康边界：将漏尿归因为‘练收紧’需谨慎；未明确提示就医指征,health_action_risk_pending_professional_review,‘越练越漏尿’是否构成医疗效果暗示；‘硬如石头’是否易引发误解；水印文字‘本内容仅为科普分享…’是否全程可见,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0015,ai_needed_final_video,单纯练凯格尔能改善漏尿吗.mp4,problem_solution,positive_reference_only,痛点可视化,00:00:00.000（蹲坐抱膝女性+大字标题‘单纯练凯格尔能改善漏尿吗’）→ 00:00:01.000（主讲人问‘姐妹们你有没有这种情况’）,00:00:00.000,00:00:33.144,33.144,口令引导；动作示意；原因解释,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,首帧为蹲坐抱膝女性+标题提问；后续多帧为主讲人坐书架前讲解，配合手势（握拳、张开、收拢）演示‘收紧’动作；字幕含‘憋不住尿’‘收紧收紧收紧’‘盲目跟练’‘可以参考’等短句；每帧右上角有‘十五年女性健康行业经验’竖排文字；底部统一小字‘本内容仅为科普分享，请结合自身情况理性参考’,00:00:00.000；00:00:01.000；00:00:33.144；00:00:58.923；00:01:28.384；00:01:57.846；00:02:27.307；00:03:03.784,口令引导；动作示意；原因解释,轻行动；价值收束,5,5,4,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,效果承诺边界模糊（‘能改善’未限定条件）；未明确医学禁忌人群,health_action_risk_pending_professional_review,‘能改善漏尿吗’标题是否构成效果承诺；‘收紧收紧收紧’口令是否伴随准确骨盆底肌发力示意（仅手势不足）,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0016,ai_needed_final_video,妈妈臀 臀凹陷一个动作饱满臀部.mp4,single_action_tts_teaching,positive_reference_only,痛点可视化,00:00:00.000：主画面背坐椅+粉色球，左下角大字‘妈妈臀 臀凹陷’+‘一个动作饱满臀部’；00:00:01.000：叠加‘每天坚持这个动作 臀饱满了’字幕，右侧出现臀部前后对比图,00:00:00.000,00:00:02.395,2.395,单动作循环演示；图解对比；字幕强化,complete_or_key_cycle_visible_visual_only,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,全程单一坐姿夹球动作循环；画面左下角始终显示‘妈妈臀 臀凹陷 一个动作饱满臀部’；中后段每帧顶部固定字幕‘每天坚持这个动作 臀饱满了’；右侧持续叠加臀部凹陷vs饱满的对比示意图（粉色紧身裤+虚线标注）；无口播文字外的其他字幕；人物始终背对镜头，未转面或说话,00:00:00.000；00:00:01.000；00:00:02.395；00:00:04.258；00:00:06.386；00:00:08.515；00:00:10.644；00:00:12.955,单动作循环演示；图解对比；字幕强化,结果重申,3,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,效果承诺（饱满臀部）；医学健康边界（未说明适用人群/禁忌）,health_action_risk_pending_professional_review,‘臀饱满了’是否构成效果承诺违规；对比图是否误导（未标注为示意）；是否缺失禁忌人群提示,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0027,ai_needed_final_video,5月15日.mp4,movement_correction,positive_reference_only,痛点可视化,00:00:00.000（坐姿讲解+大字幕痛点+‘每天练习三组’承诺）,00:00:00.000,00:00:01.000,1,动作演示、对比图解、呼吸口令,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面主体为女性示范者，穿黄绿运动服，在地毯上依次演示四种臀桥变式；每帧含主画面+四小图对比；字幕反复出现‘肚子小了 臀部翘了 胳膊瘦了’‘骨盆核心收紧 呼气向上 吸气向下’；右上角标注‘非医疗保健科普 仅供参考’；无口播文字可见，仅画面与字幕信息,00:00:00.000；00:00:01.000；00:00:03.607；00:00:06.412；00:00:09.619；00:00:12.825；00:00:16.031；00:00:19.689,动作演示、对比图解、呼吸口令,动作完成、结果重申,5,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,非医疗保健科普 仅供参考；未说明禁忌症与个体差异,health_action_risk_pending_professional_review,字幕中‘肚子小了 臀部翘了 胳膊瘦了’是否构成效果过度承诺；四小图变式顺序是否与口播逻辑一致（当前仅画面证据）,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0028,ai_needed_final_video,5月16日.mp4,movement_correction,positive_reference_only,痛点可视化,"00:00:00.000：坐姿持球+字幕‘只需一个小球 让你告别""小腹婆""’，明确痛点与工具",00:00:00.000,00:00:01.000,1,动作演示；字幕口令；步骤引导,complete_or_key_cycle_visible_visual_only,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面中女性依次展示：坐姿引出问题→俯卧持球→耻骨区施压→身体前后滚动→最终俯卧放松；字幕同步提示动作指令与生理效果；全程无口播可见，仅依赖画面与字幕推进；左侧竖排文字‘传播女性正能量 拒绝焦虑’为固定水印,00:00:00.000；00:00:01.000；00:00:04.706；00:00:08.366；00:00:12.550；00:00:16.733；00:00:20.916；00:00:25.795,动作演示；字幕口令；步骤引导,结果重申；动作完成,5,5,5,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,缓解脏腑下垂（医学效果承诺）,health_action_risk_pending_professional_review,‘缓解脏腑下垂’字幕是否合规；‘减少腹内压’是否构成医疗效果暗示；动作是否真能对应所述生理机制（需专业复核）,high,reused_existing_ali_recheck_success_no_new_api_call
fv_0017,ai_needed_final_video,30岁的女性练八爪鱼要多久6.2（4）.mp4,single_action_tts_teaching,positive_reference_only,人群点名,00:00:00.000（正面坐姿+标题字幕‘30岁的女性 练八爪鱼要多久’）,00:00:00.000,00:00:01.000,1,动作演示、口令提示、道具使用说明,partial_action_visible_pending_professional_review,subtitle_action_alignment_partial_visual_only_pending_audio_transcript,画面中女性在不同时间点演示同一动作变体：坐于瑜伽球上做开胯/骨盆调整类姿势；字幕反复出现‘30岁的女性 练八爪鱼要多久’，穿插‘快的一周？’‘现在很多高段位的女性’‘现在练习不需要大几万’‘只需要一个同款瑜伽小球’‘就可以’‘或者评论区留言哦’；背景为居家客厅，无他人出镜；动作幅度小，以静态保持为主,00:00:00.000；00:00:01.000；00:00:03.160；00:00:05.617；00:00:08.426；00:00:11.235；00:00:14.043；00:00:17.204,动作演示、口令提示、道具使用说明,轻行动（评论区留言）、道具复用提示,5,5,4,yes_reference_pattern_reused_from_ali_recheck_100,risk_pattern_only,no_finished_video_reference,no,no,pending_user_review,效果承诺（一周见效）；隐含身体形态改善暗示,pending_user_review,字幕中‘快的一周？’是否构成效果承诺；‘八爪鱼’动作是否被观众误认为医疗行为；瑜伽球使用是否涉及安全风险提示缺失,high,reused_existing_ali_recheck_success_no_new_api_call
