ali_review_id,candidate_id,pair_group_id,recording_id,usable_structure_name,source_file,source_file_exists,full_context_path,full_context_exists,visual_input_folder,contact_sheet_path,preview_20s_path,frame_timecodes,material_status,visual_api_status,visual_model_used,p0_gate_result
ALI001,live_cand_0004,pair_0004,rec_001,误区/错误先抛 + 正确动作对比 + 原因解释,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/01_误区错误纠正_错误动作正确动作原因解释/A001_live_cand_0004_pair_0004_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/04_误区错误纠正_错误动作正确动作原因解释/ALI001_live_cand_0004_pair_0004_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/04_误区错误纠正_错误动作正确动作原因解释/ALI001_live_cand_0004_pair_0004_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/04_误区错误纠正_错误动作正确动作原因解释/ALI001_live_cand_0004_pair_0004_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI002,live_cand_0006,pair_0006,rec_001,问题问答 + 原因解释 + 方法边界,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A002_live_cand_0006_pair_0006_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/01_问题问答_原因解释方法边界/ALI002_live_cand_0006_pair_0006_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/01_问题问答_原因解释方法边界/ALI002_live_cand_0006_pair_0006_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/01_问题问答_原因解释方法边界/ALI002_live_cand_0006_pair_0006_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI003,live_cand_0011,pair_0011,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A003_live_cand_0011_pair_0011_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI003_live_cand_0011_pair_0011_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI003_live_cand_0011_pair_0011_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI003_live_cand_0011_pair_0011_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI004,live_cand_0012,pair_0012,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A004_live_cand_0012_pair_0012_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI004_live_cand_0012_pair_0012_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI004_live_cand_0012_pair_0012_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI004_live_cand_0012_pair_0012_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI005,live_cand_0013,pair_0013,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A005_live_cand_0013_pair_0013_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI005_live_cand_0013_pair_0013_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI005_live_cand_0013_pair_0013_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI005_live_cand_0013_pair_0013_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI006,live_cand_0014,pair_0014,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A006_live_cand_0014_pair_0014_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI006_live_cand_0014_pair_0014_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI006_live_cand_0014_pair_0014_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI006_live_cand_0014_pair_0014_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI007,live_cand_0015,pair_0015,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A007_live_cand_0015_pair_0015_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI007_live_cand_0015_pair_0015_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI007_live_cand_0015_pair_0015_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI007_live_cand_0015_pair_0015_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI008,live_cand_0016,pair_0016,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A008_live_cand_0016_pair_0016_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI008_live_cand_0016_pair_0016_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI008_live_cand_0016_pair_0016_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI008_live_cand_0016_pair_0016_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI009,live_cand_0017,pair_0017,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A009_live_cand_0017_pair_0017_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI009_live_cand_0017_pair_0017_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI009_live_cand_0017_pair_0017_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI009_live_cand_0017_pair_0017_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI010,live_cand_0018,pair_0018,rec_001,痛点/人群点名 + 单动作完整循环 + 坚持建议,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A010_live_cand_0018_pair_0018_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/03_痛点人群点名_单动作完整循环坚持建议/ALI010_live_cand_0018_pair_0018_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/03_痛点人群点名_单动作完整循环坚持建议/ALI010_live_cand_0018_pair_0018_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/03_痛点人群点名_单动作完整循环坚持建议/ALI010_live_cand_0018_pair_0018_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,still_blocked_topic_break
ALI011,live_cand_0019,pair_0019,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A011_live_cand_0019_pair_0019_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI011_live_cand_0019_pair_0019_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI011_live_cand_0019_pair_0019_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI011_live_cand_0019_pair_0019_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI012,live_cand_0022,pair_0022,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A012_live_cand_0022_pair_0022_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI012_live_cand_0022_pair_0022_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI012_live_cand_0022_pair_0022_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI012_live_cand_0022_pair_0022_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI013,live_cand_0023,pair_0023,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A013_live_cand_0023_pair_0023_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI013_live_cand_0023_pair_0023_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI013_live_cand_0023_pair_0023_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI013_live_cand_0023_pair_0023_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI014,live_cand_0024,pair_0024,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A014_live_cand_0024_pair_0024_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI014_live_cand_0024_pair_0024_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI014_live_cand_0024_pair_0024_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI014_live_cand_0024_pair_0024_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI015,live_cand_0025,pair_0025,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A015_live_cand_0025_pair_0025_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI015_live_cand_0025_pair_0025_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI015_live_cand_0025_pair_0025_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI015_live_cand_0025_pair_0025_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
ALI016,live_cand_0026,pair_0026,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A016_live_cand_0026_pair_0026_rec_001/03_完整上下文_full_context.mp4,true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI016_live_cand_0026_pair_0026_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI016_live_cand_0026_pair_0026_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI016_live_cand_0026_pair_0026_rec_001/05_20秒复核预览_preview_20s.mp4,"00:00:09.602,00:00:33.606,00:01:00.010,00:01:26.414,00:01:50.418",created,success,qwen3-vl-plus,weak_related_need_manual_review
