normalized_action_id,action_domain,normalized_action_name_cn,confirmed_source_basis,alias_examples,target_problem_primary,target_problem_secondary,audience_or_scene,primary_key_point,wrong_pattern_to_detect,speech_keyword_family,visual_evidence_required,current_visual_evidence_status,risk_review_items,recommended_structure,candidate_use_status,source_file_ids,notes
presenter_neutral_idle,presenter_avatar_action,自然讲解/默认静止,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,neutral_idle; 自然静止,presentation_delivery,course_knowledge_explain,课程讲解、无明确动作词的口播段,作为数字人默认动作或口播占位，不代表原视频动作已确认。,把默认静止误当作可见真人动作证据。,normal_explain,需确认人物可见、表情/视线与口播不冲突。,low_confidence_pending_visual_review,visual_review_required,痛点问题 + 原因解释 + 方法交付,bridge_only_pending_human_review,SRC00058;SRC00342;SRC00063;SRC00347;SRC00060;SRC00344,可辅助直播资料字段，不可直接作为自动播发动作。
presenter_open_explain,presenter_avatar_action,张手解释/开放讲解,动作标签库列出 hand_open_explain；触发规则把 question_prompt 映射到该动作但 confidence=low。,hand_open_explain; 张手解释,presentation_delivery,question_answer_bridge,问题提示、解释、承接观众疑问,用于提示“正在解释/引导”，不是已确认的原片动作。,只有问题句，没有原因链或方法边界。,question_prompt; normal_explain,手部打开动作、画面无遮挡、口播同题。,label_defined_but_visual_unconfirmed,visual_review_required; customer_review_if_used_in_live_script,问题问答 + 原因解释 + 方法边界,bridge_only_pending_human_review,SRC00058;SRC00342;SRC00063;SRC00347,仅可作为候选动作意图。
presenter_screen_point_or_highlight,presenter_avatar_action,指向课件/屏幕重点,动作标签库含 hand_point_screen、highlight_focus、eye_to_slide、mouse_pointer_move。,hand_point_screen; highlight_focus; eye_to_slide; mouse_pointer_move,courseware_attention,visual_focus_bridge,课件图示、重点字幕、步骤提示,必须确认被指向的课件/字幕与口播同题。,OCR 不可用或课件不可见时仍写成重点已确认。,重点/看这里/这个位置/这一点,课件文字/OCR、指向动作、视线或鼠标轨迹至少两项同向。,ocr_or_visual_pending_review,visual_review_required; ocr_review_required,工具/动作演示 + 发力口令 + 低压跟练收束,screening_helper_pending_visual_review,SRC00058;SRC00342;SRC00060;SRC00344,用于帮助剪辑师找课件证据，不代表动作专业性通过。
presenter_step_count_or_page_turn,presenter_avatar_action,步骤数数/翻页承接,动作标签库含 hand_counting 与 page_turn。,hand_counting; page_turn,course_step_explain,method_sequence,多步骤讲解、组合动作、阶段切换,只能说明讲解结构可能分步，不能说明步骤正确。,多个动作目标混乱，或缺动作之间承接。,第一/第二/第三/接下来/然后,步骤字幕、翻页或手势数数与口播顺序一致。,label_defined_but_visual_unconfirmed,visual_review_required; professional_review_if_exercise_method,多动作组合 + 同一主题推进 + 轻跟练收束,screening_helper_pending_human_review,SRC00058;SRC00342,适合做组合段排序提示。
presenter_emphasis_warning_pause,presenter_avatar_action,严肃强调/风险提醒/停顿,动作标签库含 serious_emphasis、pause_thinking；触发规则把 warning_reminder 映射为 serious_emphasis 但 confidence=low。,serious_emphasis; pause_thinking; warning_reminder,risk_boundary,objection_response,注意事项、禁忌、边界提醒、异议回应,风险提醒可以延长保留，但不能扩大成专业结论。,只保留承诺句，删掉注意事项/适用边界。,注意/不要/如果/不适合/需要复核,表情、语气停顿、字幕或注意事项同向。,text_rule_only_pending_audio_visual_review,professional_review_required; compliance_review_required,结果前置 + 操作过程 + 注意事项/风险边界,risk_gate_required_before_live_use,SRC00058;SRC00342;SRC00063;SRC00347;SRC00087;SRC06157;SRC13404,适合做剪辑保边界提示。
course_pelvic_floor_training_reference,course_text_action_keyword,盆底/私密训练关键词族,术语表、知识点与逐字稿桥接中出现训练相关词族；视觉动作完整性未确认。,盆底肌; 私密训练; 私密瑜伽; 收紧/放松,pelvic_floor_training,health_or_body_training,训练问答、痛点解释、低压跟练候选,只作为文本命中和候选筛选；动作安全性、适用人群与效果需专业复核。,口播提到训练，但画面没有完整动作循环或关键部位被遮挡。,盆底/训练/收紧/放松/发力/呼吸,完整动作循环、发力方向、呼吸/次数口令、无遮挡关键部位。,text_keyword_confirmed_visual_pending_review,professional_review_required; health_claim_review_required,痛点/人群点名 + 单动作完整循环 + 坚持建议,screening_candidate_pending_professional_review,SRC13403;SRC13454,不得写健康效果已确认。
course_breathing_coordination_reference,course_text_action_keyword,呼吸配合关键词族,术语表/知识点中存在呼吸配合类表达；动作同步未确认。,呼吸; 气息; 配合呼吸,breathing_coordination,method_boundary,动作口令、跟练提示、注意事项,呼吸只可作为口令辅助字段，不可替代动作证据。,只有呼吸口令，没有动作起势/回位。,呼吸/吸气/呼气/配合,动作节奏与口令同步，至少保留一次完整循环。,text_keyword_confirmed_visual_pending_review,professional_review_required,工具/动作演示 + 发力口令 + 低压跟练收束,screening_candidate_pending_professional_review,SRC13403;SRC13454,适合补充 action_complete_cycle 判断。
course_position_method_reference,course_sensitive_text_action_keyword,亲密姿势方法词族,课程文本、术语表与问答中存在亲密姿势/体位类标准词和 ASR 变体；本轮只做高层主题归一。,体位技巧; 亲密姿势; 侧卧式; 女上位; 传教式; 六九式,posture_selection_problem,high_sensitive_intimate_instruction,成人亲密关系课程片段筛选,只能确认文本主题命中，不能确认动作做法、身体适配或画面可用。,把 ASR 归一词或课程主题直接改成可上屏动作教程。,亲密姿势/体位/适合不适合/怎么选择,本轮不确认视觉动作；后续需客户、合规与专业边界共同确认。,sensitive_text_only_visual_not_confirmed,compliance_review_required; customer_review_required; professional_review_required,问题问答 + 原因解释 + 方法边界,do_not_auto_publish_high_sensitive,SRC13403;SRC13454;SRC00087;SRC06157;SRC13404,源内含更细分敏感成人课程词，本知识库只保留高层词族，不展开操作细节。
course_body_position_technique_reference,course_sensitive_text_action_keyword,亲密姿势/体位技巧关键词族,课程文本与问答中存在该类主题；本知识库不展开源内具体操作细节。,体位技巧; 姿势; 亲密姿势词族,body_position_technique_sensitive,relationship_intimacy_method,成人亲密关系课程片段筛选,只能做高层主题筛选和合规待审标记。,将敏感课程技巧直接改写成直播话术或动作教程。,亲密姿势/技巧/适合不适合,本轮不确认视觉动作；后续需客户、合规与专业边界共同确认。,sensitive_text_only_visual_not_confirmed,compliance_review_required; customer_review_required; professional_review_required,问题问答 + 原因解释 + 方法边界,do_not_auto_publish_high_sensitive,SRC13403;SRC13454;SRC00087;SRC06157;SRC13404,源内含更细分敏感成人课程词，本知识库只保留高层词族，不展开操作细节。
course_touch_or_tool_method_reference,course_sensitive_text_action_keyword,触碰/工具方法关键词族,术语表与知识点中存在工具/触碰类主题；本轮不写入操作说明。,按摩; 工具/产品辅助词族,touch_or_tool_method_sensitive,tool_or_product_usage,工具演示、产品辅助、成人课程候选,仅作为素材风险和主题标签。,看不清工具位置或把敏感步骤写成可直接照做。,工具/产品/按摩/辅助,工具位置、接触点、遮挡风险需人工确认；本轮不确认。,sensitive_text_only_visual_not_confirmed,compliance_review_required; customer_review_required; professional_review_required,工具/动作演示 + 发力口令 + 低压跟练收束,do_not_auto_publish_high_sensitive,SRC13403;SRC13454,源内含更细分敏感成人课程词，本知识库只保留高层词族，不展开操作细节。
course_preparation_context_reference,course_sensitive_context_keyword,准备动作/辅助道具词族,课程知识点中存在准备、场地、着装或辅助道具类上下文；本轮只做候选主题标记。,准备动作; 场地准备; 着装准备; 辅助道具; 枕头,preparation_context,medium_sensitive_contextual,成人课程前置说明、场景准备、道具提示,只作为上下文标签；不代表工具/动作安全性成立。,看不清道具或场景，却写成工具演示可用。,准备/道具/场地/着装,道具、场景、口播指向需人工确认。,text_confirmed_visual_pending_review,compliance_review_required; customer_review_required,工具/动作演示 + 发力口令 + 低压跟练收束,screening_candidate_pending_customer_review,SRC13403;SRC13454,不得写成工具安全或效果已确认。
course_relationship_problem_reference,course_problem_keyword,亲密关系/伴侣沟通问题,课程知识点、问答与直播桥接字段存在亲密关系/伴侣沟通主题。,亲密关系; 伴侣沟通; 情感互动; 婚姻关系,relationship_communication,qa_objection_response,直播答疑、课程价值解释、问题承接,适合做问题/原因/边界结构，不要求动作演示。,只截情绪化痛点，没有原因解释或方法边界。,伴侣/沟通/关系/情感/困惑,口播完整主语和原因链；画面只作辅助。,text_context_confirmed_visual_optional,customer_review_if_business_claim; compliance_review_if_sensitive,痛点问题 + 原因解释 + 方法交付,text_screening_candidate_pending_customer_review,SRC13403;SRC13454;SRC00087;SRC06157;SRC13404,不写成情感效果已确认。
course_product_offer_reference,course_business_keyword,课程/助理/报名业务词,课程文本上下文中存在课程、助理、专场等业务词。,课程; 课程助理; 专场; 报名,course_offer_or_business,business_fact,课程介绍、转化引导、直播资料字段,只做业务事实待确认字段，不自动写价格/承诺。,把课程介绍改成未经确认的直播销售话术。,课程/助理/报名/专场,需客户确认课程名称、价格、权益、链接。,business_text_only_pending_customer_review,customer_review_required; business_fact_review_required,问题问答 + 原因解释 + 方法边界,business_fact_pending_customer_review,SRC13403;SRC13454,不写业务通过。
unknown_or_unusable_visual_action,visual_review_blocker,低置信/不可用视觉动作,动作时间轴、三线对照和逐句 JSONL 中大量 low_confidence、no_face、scene_no_presenter、OCR unavailable 类状态。,low_confidence_action_pending_review; slide_or_scene_no_presenter_detected; no_face_detected; ocr_unavailable_need_manual_review,visual_review_blocker,manual_review_queue,人工复核索引、不可自动下发动作的候选,只用于阻断自动化和排队人工复核。,低置信动作直接进入自动播放或剪辑结论。,不适用,重新抽帧/人工看原片/视觉模型复核。,blocked_pending_visual_review,visual_review_required,日期/主题不明素材 + 待视觉复核索引,manual_review_only,SRC00057;SRC00341;SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178;SRC00060;SRC00344,不得升格为动作确认。
