visual_review_id,candidate_id,pair_group_id,recording_id,source_file,usable_structure_name,sample_select_reason,talk_start_time,talk_end_time,action_start_time,action_end_time,visual_material_path_local,visual_review_method,observed_action_name,observed_action_start_time,observed_action_end_time,action_cycle_complete,visual_obstruction_status,talk_claimed_action_or_problem,talk_claimed_function,same_action_check,same_problem_check,same_function_check,sequence_logic_check,topic_break_check,visual_review_result,pair_logic_after_visual_review,can_enter_editor_task_pack,reason,manual_review_items,notes
VAR001,live_cand_0006,pair_0006,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,问题问答 + 原因解释 + 方法边界,score=113; keyword_count=7; previous_score=11; structure=问题问答 + 原因解释 + 方法边界; recording_coverage=rec_001; local_full_context_exists=true,00:14:00.000,00:16:00.000,00:14:00.000,00:16:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR001_live_cand_0006_pair_0006_rec_001,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中,方法,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=failed; model=qwen-vl-plus-latest; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=intercut_needed; pair_split=not_available_from_pair_table_same_time_range"
VAR002,live_cand_0164,pair_0164,rec_004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5829.MP4,问题问答 + 原因解释 + 方法边界,score=113; keyword_count=7; previous_score=11; structure=问题问答 + 原因解释 + 方法边界; recording_coverage=rec_004; local_full_context_exists=true,00:14:00.000,00:16:00.000,00:14:00.000,00:16:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR002_live_cand_0164_pair_0164_rec_004,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中,方法,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=intercut_needed; pair_split=not_available_from_pair_table_same_time_range"
VAR003,live_cand_0063,pair_0063,rec_002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5824.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,score=108; keyword_count=5; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_002; local_full_context_exists=true,00:18:00.000,00:20:00.000,00:18:00.000,00:20:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR003_live_cand_0063_pair_0063_rec_002,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR004,live_cand_0113,pair_0113,rec_003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5825.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,score=108; keyword_count=5; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_003; local_full_context_exists=true,00:18:00.000,00:20:00.000,00:18:00.000,00:20:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR004_live_cand_0113_pair_0113_rec_003,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR005,live_cand_0023,pair_0023,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,score=107; keyword_count=4; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_001; local_full_context_exists=true,00:48:00.000,00:50:00.000,00:48:00.000,00:50:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR005_live_cand_0023_pair_0023_rec_001,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达,方法,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=intercut_needed; pair_split=not_available_from_pair_table_same_time_range"
VAR006,live_cand_0084,pair_0084,rec_002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5824.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,score=107; keyword_count=4; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_002; local_full_context_exists=true,01:00:00.000,01:02:00.000,01:00:00.000,01:02:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR006_live_cand_0084_pair_0084_rec_002,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,方法,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=intercut_needed; pair_split=not_available_from_pair_table_same_time_range"
VAR007,live_cand_0081,pair_0081,rec_002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5824.MP4,痛点/人群点名 + 单动作完整循环 + 坚持建议,score=103; keyword_count=5; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_002; local_full_context_exists=true,00:54:00.000,00:56:00.000,00:54:00.000,00:56:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR007_live_cand_0081_pair_0081_rec_002,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR008,live_cand_0123,pair_0123,rec_003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5825.MP4,痛点/人群点名 + 单动作完整循环 + 坚持建议,score=103; keyword_count=5; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_003; local_full_context_exists=true,00:38:00.000,00:40:00.000,00:38:00.000,00:40:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR008_live_cand_0123_pair_0123_rec_003,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR009,live_cand_0066,pair_0066,rec_002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5824.MP4,痛点/人群点名 + 单动作完整循环 + 坚持建议,score=99; keyword_count=4; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_002; local_full_context_exists=true,00:24:00.000,00:26:00.000,00:24:00.000,00:26:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR009_live_cand_0066_pair_0066_rec_002,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 盆底/产后训练 / 问题问答/原因解释 / 误区纠错/风险提醒,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR010,live_cand_0130,pair_0130,rec_003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5825.MP4,痛点/人群点名 + 单动作完整循环 + 坚持建议,score=99; keyword_count=4; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_003; local_full_context_exists=true,00:52:00.000,00:54:00.000,00:52:00.000,00:54:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR010_live_cand_0130_pair_0130_rec_003,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR011,live_cand_0051,pair_0051,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,误区/错误先抛 + 正确动作对比 + 原因解释,score=98; keyword_count=5; previous_score=11; structure=误区/错误先抛 + 正确动作对比 + 原因解释; recording_coverage=rec_001; local_full_context_exists=true,01:46:00.000,01:48:00.000,01:46:00.000,01:48:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR011_live_cand_0051_pair_0051_rec_001,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,问题问答/原因解释 / 误区纠错/风险提醒 / 情绪/关系表达 / 动作/问题关键词命中,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR012,live_cand_0209,pair_0209,rec_004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5829.MP4,误区/错误先抛 + 正确动作对比 + 原因解释,score=98; keyword_count=5; previous_score=11; structure=误区/错误先抛 + 正确动作对比 + 原因解释; recording_coverage=rec_004; local_full_context_exists=true,01:46:00.000,01:48:00.000,01:46:00.000,01:48:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR012_live_cand_0209_pair_0209_rec_004,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,问题问答/原因解释 / 误区纠错/风险提醒 / 情绪/关系表达 / 动作/问题关键词命中,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR013,live_cand_0134,pair_0134,rec_003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5825.MP4,误区/错误先抛 + 正确动作对比 + 原因解释,score=97; keyword_count=5; previous_score=10; structure=误区/错误先抛 + 正确动作对比 + 原因解释; recording_coverage=rec_003; local_full_context_exists=true,01:00:00.000,01:02:00.000,01:00:00.000,01:02:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR013_live_cand_0134_pair_0134_rec_003,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR014,live_cand_0004,pair_0004,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,误区/错误先抛 + 正确动作对比 + 原因解释,score=96; keyword_count=5; previous_score=9; structure=误区/错误先抛 + 正确动作对比 + 原因解释; recording_coverage=rec_001; local_full_context_exists=true,00:10:00.000,00:12:00.000,00:10:00.000,00:12:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR014_live_cand_0004_pair_0004_rec_001,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
VAR015,live_cand_0185,pair_0185,rec_004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5829.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,score=81; keyword_count=3; previous_score=9; structure=多动作组合 + 同一主题推进 + 轻跟练收束; recording_coverage=rec_004; local_full_context_exists=true,00:58:00.000,01:00:00.000,00:58:00.000,01:00:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR015_live_cand_0185_pair_0185_rec_004,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 盆底/产后训练 / 胸部/呼吸练习,方法,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=intercut_needed; pair_split=not_available_from_pair_table_same_time_range"
VAR016,live_cand_0171,pair_0171,rec_004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5829.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,score=78; keyword_count=3; previous_score=9; structure=多动作组合 + 同一主题推进 + 轻跟练收束; recording_coverage=rec_004; local_full_context_exists=true,00:28:00.000,00:30:00.000,00:28:00.000,00:30:00.000,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR016_live_cand_0171_pair_0171_rec_004,human_pack,待人工复核,待人工复核,待人工复核,unclear,unclear,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,风险,unclear,unclear,unclear,unclear,unclear,human_review_required,still_blocked_need_human_visual_review,no,未获得可采信视觉模型结果；已生成本地 contact sheet 和代理短片，需人工看原片确认动作。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,"model_status=disabled_after_previous_visual_api_failure; model=; frame_timecodes=00:00:12.002,00:00:36.006,00:01:00.010,00:01:24.014,00:01:48.018; guide_pair_relation=talk_before_action; pair_split=not_available_from_pair_table_same_time_range"
