ali_review_id,review_id,candidate_id,pair_group_id,recording_id,source_file,usable_structure_name,structure_folder,talk_start_time,talk_end_time,action_start_time,action_end_time,talk_claimed_action_or_problem,talk_claimed_function,visual_model_primary,visual_model_fallback,visual_model_used,visual_api_status,visual_error_summary,observed_action_name,observed_body_part_or_tool,action_start_visual_clue,action_end_visual_clue,action_cycle_complete,visual_obstruction_status,presenter_visible,same_action_with_talk_claim,same_problem_with_talk_claim,same_function_with_talk_claim,sequence_logic,topic_break_risk,can_enter_editor_task_pack_model,p0_gate_result,p0_fail_reason,talk_action_same_point,can_enter_editor_task_pack,split_status,local_review_folder,local_true_pair_task_folder,local_manual_review_folder,contact_sheet_path_local,preview_20s_path_local,full_context_path_local,reason,manual_review_items,notes
ALI001,P0R001,live_cand_0004,pair_0004,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,误区/错误先抛 + 正确动作对比 + 原因解释,04_误区错误纠正_错误动作正确动作原因解释,00:10:00.000,00:12:00.000,00:10:00.000,00:12:00.000,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒,风险,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部前方做手势讲解，伴随口型变化,手、胸部区域,00:00:09.602 帧中双手从体侧抬起至胸前，掌心相对,00:01:50.418 帧中双手仍位于胸前，呈放松收势姿态,no,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒 -> 双手置于胸部前方做手势讲解，伴随口型变化,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/04_误区错误纠正_错误动作正确动作原因解释/ALI001_live_cand_0004_pair_0004_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/04_误区错误纠正_错误动作正确动作原因解释/MR001_live_cand_0004_pair_0004_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/04_误区错误纠正_错误动作正确动作原因解释/ALI001_live_cand_0004_pair_0004_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/04_误区错误纠正_错误动作正确动作原因解释/ALI001_live_cand_0004_pair_0004_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/01_误区错误纠正_错误动作正确动作原因解释/A001_live_cand_0004_pair_0004_rec_001/03_完整上下文_full_context.mp4,画面仅显示 presenter 手部在胸部区域做讲解性手势，无明显呼吸动作、无胸廓起伏、无跟练示范；无法确认是否为‘胸部/呼吸练习’或‘误区纠错’动作；所有帧均为静态讲解姿态，未呈现动作周期（如吸气-呼气循环）；口播声明中要求的‘动作口令/跟练’‘问题问答’‘风险提醒’等关键行为在画面中无对应视觉证据；仅凭手势无法判定与‘误区/错误先抛+正确动作对比+原因解释’结构一致；存在话题断裂风险（如讲解与实操脱节）。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI002,P0R002,live_cand_0006,pair_0006,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,问题问答 + 原因解释 + 方法边界,01_问题问答_原因解释方法边界,00:14:00.000,00:16:00.000,00:14:00.000,00:16:00.000,胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做按压/轻抚动作，伴随呼吸节奏,双手、胸部,帧00:00:09.602：双手从体侧抬起至胸前，掌心向内贴于胸骨区域,帧00:01:50.418：双手仍置于胸部，但姿态略有放松，未见明显收手或结束动作,no,clear,yes,yes,unclear,yes,intercut,no,yes,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中 -> 双手置于胸部做按压/轻抚动作，伴随呼吸节奏,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/01_问题问答_原因解释方法边界/ALI002_live_cand_0006_pair_0006_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/01_问题问答_原因解释方法边界/MR002_live_cand_0006_pair_0006_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/01_问题问答_原因解释方法边界/ALI002_live_cand_0006_pair_0006_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/01_问题问答_原因解释方法边界/ALI002_live_cand_0006_pair_0006_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A002_live_cand_0006_pair_0006_rec_001/03_完整上下文_full_context.mp4,画面中 presenter 始终坐姿，双手持续在胸部区域进行有节奏的按压/轻抚动作（五帧均可见），符合‘胸部/呼吸练习’的动作描述；动作起始清晰（抬手贴胸），但未见明确收手或完成循环（如呼气结束+手放下），故判定为 cycle incomplete；无遮挡， presenter 全身可见；动作与口播声明中的‘胸部/呼吸练习’及‘方法’功能一致；各帧间动作连贯，无话题跳跃迹象；虽无法确认是否对应具体问题（如情绪/关系表达），但动作本身与方法类口播匹配，可进入编辑任务包。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI003,P0R003,live_cand_0011,pair_0011,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:24:00.000,00:26:00.000,00:24:00.000,00:26:00.000,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,坐姿手臂外展与收拢循环动作,上肢（双臂）、躯干；无明显工具,帧00:00:09.602：双手合十于胸前，准备态,帧00:01:50.418：双臂外展至侧平举，未见回位完成,no,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习 -> 坐姿手臂外展与收拢循环动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI003_live_cand_0011_pair_0011_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR003_live_cand_0011_pair_0011_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI003_live_cand_0011_pair_0011_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI003_live_cand_0011_pair_0011_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A003_live_cand_0011_pair_0011_rec_001/03_完整上下文_full_context.mp4,画面仅显示坐姿下双臂外展-收拢的片段动作，但未呈现完整周期（如未见回位至起始位）；无任何工具/道具出现，无法确认是否为‘工具/道具演示’；身体部位仅涉及上肢，未见盆底、胸部或呼吸相关视觉线索（如腹部起伏、骨盆带、呼吸节奏提示等）；口播声明含‘盆底/产后训练’‘胸部/呼吸练习’等关键要素，画面未提供对应证据；动作目的与方法功能无法从画面推断；因关键信息缺失且存在多类宣称内容未被视觉支持，保守判断不一致。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI004,P0R004,live_cand_0012,pair_0012,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:26:00.000,00:28:00.000,00:26:00.000,00:28:00.000,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手从体侧上抬至胸前、掌心相对合拢，再缓慢下放回体侧的重复性上肢动作,上肢（双臂、手）、躯干（坐姿稳定）,帧00:00:09.602：双手位于大腿外侧，开始向上抬起,帧00:01:50.418：双手已回落至体侧，动作周期完成；但后续是否继续未知,unclear,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习 -> 双手从体侧上抬至胸前、掌心相对合拢，再缓慢下放回体侧的重复性上肢动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI004_live_cand_0012_pair_0012_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR004_live_cand_0012_pair_0012_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI004_live_cand_0012_pair_0012_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI004_live_cand_0012_pair_0012_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A004_live_cand_0012_pair_0012_rec_001/03_完整上下文_full_context.mp4,画面仅显示上肢重复动作（类似呼吸配合的手势），未见任何工具/道具、盆底肌或胸部训练相关视觉证据（如骨盆带、呼吸鼓腹、胸腔扩张特写等）；虽为坐姿跟练形式，但无法确认是否对应‘盆底/产后训练’或‘胸部/呼吸练习’的具体方法；动作本身不具唯一性，同类手势可能用于多种目的；无发力口令对应的面部表情或身体张力变化；片段内无动作起止完整循环证据；因口播声明涉及多个专业领域，而画面信息不足以支持任一具体主张，故保守判断为不一致。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI005,P0R005,live_cand_0013,pair_0013,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,00:28:00.000,00:30:00.000,00:28:00.000,00:30:00.000,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,风险,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手合十于胸前→双手放腹→单手抚臂→双手交叉抚肩→单手抚颈,手、胸、腹、臂、肩、颈,帧1：双手合十置于胸前，身体微前倾，准备姿态,帧5：单手轻触颈部，动作暂止，目光注视前方,no,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习 -> 双手合十于胸前→双手放腹→单手抚臂→双手交叉抚肩→单手抚颈,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI005_live_cand_0013_pair_0013_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/05_多动作组合_同一主题推进轻跟练收束/MR005_live_cand_0013_pair_0013_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI005_live_cand_0013_pair_0013_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI005_live_cand_0013_pair_0013_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A005_live_cand_0013_pair_0013_rec_001/03_完整上下文_full_context.mp4,画面仅呈现连续的手部位置变化（胸前→腹部→臂→肩→颈），无明确工具/道具出现；未见盆底肌、呼吸或产后训练的典型动作特征（如凯格尔、腹式呼吸鼓腹、骨盆卷动等）；动作间无明显功能关联，更似姿势调整或过渡动作；口播声明中‘跟练’‘工具演示’‘盆底/产后训练’‘胸部/呼吸练习’均无法从画面确认对应；因动作不完整、目的不明，存在主题断裂风险，不符合保守一致性要求。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI006,P0R006,live_cand_0014,pair_0014,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:30:00.000,00:32:00.000,00:30:00.000,00:32:00.000,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习,风险,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,坐姿手臂外展+肩胛后收动作（重复进行）,上肢、肩胛、躯干；无明显工具,双臂从体侧缓慢抬起至水平位，伴随肩胛骨向中线收紧,双臂回落至体侧，肩胛放松，身体恢复中立位,no,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 工具/道具演示 / 盆底/产后训练 / 胸部/呼吸练习 -> 坐姿手臂外展+肩胛后收动作（重复进行）,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI006_live_cand_0014_pair_0014_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR006_live_cand_0014_pair_0014_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI006_live_cand_0014_pair_0014_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI006_live_cand_0014_pair_0014_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A006_live_cand_0014_pair_0014_rec_001/03_完整上下文_full_context.mp4,画面仅显示重复的坐姿上肢外展动作，未见任何工具/道具；无法确认是否为盆底/产后训练或胸部/呼吸练习相关动作（如无腹式呼吸可见、无盆底肌激活迹象、无呼吸节奏配合）；口播声明含‘工具演示’‘盆底/产后’‘胸部/呼吸’多项，但画面未呈现对应要素；动作循环未完成（帧间为动作中段，无起始/结束完整周期）；因缺乏关键视觉证据支撑声明中的具体问题与功能，保守判断为不一致，存在话题断裂风险。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI007,P0R007,live_cand_0015,pair_0015,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,00:32:00.000,00:34:00.000,00:32:00.000,00:34:00.000,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做呼吸配合动作,双手、胸部、腹部,帧00:00:09.602：双手自然下垂，口微张，似准备吸气；帧00:00:33.606：双手抬至胸前，掌心向内轻贴肋骨下方,帧00:01:50.418：双手仍置于胸腹交界处，身体微前倾，似完成一次呼气收束,unclear,clear,yes,yes,unclear,yes,intercut,no,yes,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 -> 双手置于胸部做呼吸配合动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI007_live_cand_0015_pair_0015_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/05_多动作组合_同一主题推进轻跟练收束/MR007_live_cand_0015_pair_0015_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI007_live_cand_0015_pair_0015_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI007_live_cand_0015_pair_0015_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A007_live_cand_0015_pair_0015_rec_001/03_完整上下文_full_context.mp4,画面中 presenter 始终在进行胸部区域的手部定位与呼吸配合动作（手贴肋下→轻按胸腹→维持姿势），动作连贯、主题统一；无遮挡，全身可见；虽无法确认口播具体问答内容，但动作与‘胸部/呼吸练习’‘方法’功能一致；各帧间为同一连续动作的不同阶段，属轻跟练收束环节，未出现话题跳转或动作中断。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI008,P0R008,live_cand_0016,pair_0016,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:34:00.000,00:36:00.000,00:34:00.000,00:36:00.000,动作口令/跟练 / 胸部/呼吸练习 / 误区纠错/风险提醒,风险,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做缓慢按压/起伏动作,胸部、双手,帧00:00:09.602：双手轻放于胸骨中下段，身体微前倾，准备态,帧00:01:50.418：双手仍置于胸部，姿态未明显变化，无收束动作完成迹象,no,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 胸部/呼吸练习 / 误区纠错/风险提醒 -> 双手置于胸部做缓慢按压/起伏动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI008_live_cand_0016_pair_0016_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR008_live_cand_0016_pair_0016_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI008_live_cand_0016_pair_0016_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI008_live_cand_0016_pair_0016_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A008_live_cand_0016_pair_0016_rec_001/03_完整上下文_full_context.mp4,画面仅显示静态坐姿+双手置胸的重复姿态，无明显发力、呼吸节奏变化或纠错演示；未见口令对应的动作启动/结束/跟练过程；无法确认是否为胸部呼吸练习，更无法判断是否存在误区纠错或风险提醒内容；动作周期未完成（始终维持同一姿势），且无视觉线索支持‘发力口令+低压跟练收束’结构。因此与口播声明中的动作、问题、功能均无法建立保守一致性。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
