ali_review_id,review_id,candidate_id,pair_group_id,recording_id,source_file,usable_structure_name,structure_folder,talk_start_time,talk_end_time,action_start_time,action_end_time,talk_claimed_action_or_problem,talk_claimed_function,visual_model_primary,visual_model_fallback,visual_model_used,visual_api_status,visual_error_summary,observed_action_name,observed_body_part_or_tool,action_start_visual_clue,action_end_visual_clue,action_cycle_complete,visual_obstruction_status,presenter_visible,same_action_with_talk_claim,same_problem_with_talk_claim,same_function_with_talk_claim,sequence_logic,topic_break_risk,can_enter_editor_task_pack_model,p0_gate_result,p0_fail_reason,talk_action_same_point,can_enter_editor_task_pack,split_status,local_review_folder,local_true_pair_task_folder,local_manual_review_folder,contact_sheet_path_local,preview_20s_path_local,full_context_path_local,reason,manual_review_items,notes
ALI009,P0R009,live_cand_0017,pair_0017,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,00:36:00.000,00:38:00.000,00:36:00.000,00:38:00.000,胸部/呼吸练习 / 动作/问题关键词命中,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做缓慢按压/起伏动作,双手、胸部,双手从体侧上移至胸骨中下段，掌心贴肤,双手持续贴于胸部，未明显离开或转换为其他动作,no,clear,yes,yes,unclear,unclear,unclear,no,yes,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,胸部/呼吸练习 / 动作/问题关键词命中 -> 双手置于胸部做缓慢按压/起伏动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI009_live_cand_0017_pair_0017_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/05_多动作组合_同一主题推进轻跟练收束/MR009_live_cand_0017_pair_0017_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI009_live_cand_0017_pair_0017_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI009_live_cand_0017_pair_0017_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A009_live_cand_0017_pair_0017_rec_001/03_完整上下文_full_context.mp4,五帧均显示同一女性坐姿，双手持续置于胸部做轻柔按压/起伏动作，动作连贯、无中断或切换；画面清晰、无遮挡，主体完整可见；该动作与‘胸部/呼吸练习’口播声明中的动作关键词一致；但因无音频信息，无法确认是否对应同一问题或功能（如呼吸障碍/方法教学），故问题与功能项标unclear；动作未完成完整周期（如吸-呼-复位），故cycle为no；时间跨度内无主题跳跃迹象，topic_break_risk为no；符合切片基础可视一致性要求，可进入编辑任务包。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI010,P0R010,live_cand_0018,pair_0018,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,痛点/人群点名 + 单动作完整循环 + 坚持建议,03_痛点人群点名_单动作完整循环坚持建议,00:38:00.000,00:40:00.000,00:38:00.000,00:40:00.000,动作口令/跟练 / 工具/道具演示 / 胸部/呼吸练习 / 误区纠错/风险提醒,风险,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做缓慢按压/抚触动作，伴随呼吸节奏,双手、胸部区域,帧00:00:09.602：双手从体侧抬起至胸前，掌心向内贴于胸骨两侧,帧00:01:50.418：双手仍保持在胸部位置，未明显收回或切换动作,no,clear,yes,unclear,unclear,unclear,unclear,yes,no,still_blocked_topic_break,存在明显跳题或上下文断裂风险,动作口令/跟练 / 工具/道具演示 / 胸部/呼吸练习 / 误区纠错/风险提醒 -> 双手置于胸部做缓慢按压/抚触动作，伴随呼吸节奏,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/03_痛点人群点名_单动作完整循环坚持建议/ALI010_live_cand_0018_pair_0018_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/03_痛点人群点名_单动作完整循环坚持建议/MR010_live_cand_0018_pair_0018_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/03_痛点人群点名_单动作完整循环坚持建议/ALI010_live_cand_0018_pair_0018_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/03_痛点人群点名_单动作完整循环坚持建议/ALI010_live_cand_0018_pair_0018_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A010_live_cand_0018_pair_0018_rec_001/03_完整上下文_full_context.mp4,画面仅显示双手持续置于胸部的静态或微动状态，无明确起始-顶点-回落的完整循环；未见呼吸起伏明显同步、无工具演示、无误区纠错动作（如突然停顿/手势强调错误）；口播声明含‘误区纠错/风险提醒’，但画面无对应视觉线索（如摇头、摆手、指向错误示范等）；动作持续时间长但未完成一个可识别的练习周期，无法确认是否为‘胸部/呼吸练习’的完整单动作循环；因缺乏风险提示相关视觉证据（如表情警示、手势强调危险），不能支持‘功能：风险’的匹配。故保守判断不一致。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI011,P0R011,live_cand_0019,pair_0019,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,00:40:00.000,00:42:00.000,00:40:00.000,00:42:00.000,动作口令/跟练 / 工具/道具演示 / 胸部/呼吸练习 / 问题问答/原因解释,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做按压/引导式呼吸动作,双手、胸部区域,帧00:00:09.602：双手从体侧抬起至胸前，掌心向内轻贴胸廓,帧00:01:50.418：双手仍保持在胸部位置，未明显撤回或切换动作,no,clear,yes,unclear,unclear,unclear,unclear,no,unclear,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,动作口令/跟练 / 工具/道具演示 / 胸部/呼吸练习 / 问题问答/原因解释 -> 双手置于胸部做按压/引导式呼吸动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI011_live_cand_0019_pair_0019_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/05_多动作组合_同一主题推进轻跟练收束/MR011_live_cand_0019_pair_0019_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI011_live_cand_0019_pair_0019_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI011_live_cand_0019_pair_0019_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A011_live_cand_0019_pair_0019_rec_001/03_完整上下文_full_context.mp4,画面中呈现连续的胸部手部动作（双手置于胸廓做轻按/引导），但无口播音频信息，无法确认是否对应‘胸部/呼吸练习’口令；动作未完成循环（始终维持同一姿态，无吸-呼-放松等完整周期）；虽主题连贯（持续胸部操作），但因缺乏动作起止与口播时序关联证据，无法判定与声明中的‘动作口令/跟练’‘方法’等功能一致；故多项判断为unclear。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI012,P0R012,live_cand_0022,pair_0022,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,00:46:00.000,00:48:00.000,00:46:00.000,00:48:00.000,盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部做呼吸配合动作,胸部、双手,帧00:00:09.602：双手轻放于胸廓中上部，口微张，似准备吸气,帧00:01:50.418：双手仍置于胸部，身体姿态未明显变化，无明确收束动作,no,clear,yes,unclear,unclear,unclear,unclear,unclear,no,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒 -> 双手置于胸部做呼吸配合动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI012_live_cand_0022_pair_0022_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/05_多动作组合_同一主题推进轻跟练收束/MR012_live_cand_0022_pair_0022_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI012_live_cand_0022_pair_0022_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI012_live_cand_0022_pair_0022_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A012_live_cand_0022_pair_0022_rec_001/03_完整上下文_full_context.mp4,画面仅显示 presenter 双手置于胸部的静态或缓慢移动姿态，未呈现完整呼吸周期（如腹式/胸式起伏）、无盆底肌收缩迹象、无问答/纠错等交互行为；无法确认是否对应‘盆底/产后训练’‘胸部/呼吸练习’中的具体方法动作；动作未完成（无呼气/放松收尾），且缺乏上下文支撑‘问题-解释-纠错’逻辑链；仅凭5帧切片无法判断与口播声明在动作、问题、功能上的一致性，故保守判定为不满足进入编辑任务包条件。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI013,P0R013,live_cand_0023,pair_0023,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:48:00.000,00:50:00.000,00:48:00.000,00:50:00.000,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部前方，缓慢按压或轻抚胸部区域，伴随呼吸起伏,双手、胸部,帧00:00:09.602：双手从体侧抬起至胸前，掌心向内贴于胸廓中上部,帧00:01:50.418：双手仍保持在胸部位置，未明显移开或结束动作,no,clear,yes,unclear,unclear,unclear,unclear,unclear,no,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 -> 双手置于胸部前方，缓慢按压或轻抚胸部区域，伴随呼吸起伏,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI013_live_cand_0023_pair_0023_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR013_live_cand_0023_pair_0023_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI013_live_cand_0023_pair_0023_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI013_live_cand_0023_pair_0023_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A013_live_cand_0023_pair_0023_rec_001/03_完整上下文_full_context.mp4,画面仅显示连续静态姿势（双手置胸），无明显发力、呼吸节奏变化或动作周期完成迹象；无法确认是否为‘胸部/呼吸练习’的完整演示，亦无法判断是否对应‘发力口令’或‘低压跟练收束’结构；口播声明中的‘问题问答/原因解释/情绪表达’等要素在画面中无任何视觉证据；动作持续但未见起始-发展-收束的完整逻辑链，故不能认定与口播声明一致。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI014,P0R014,live_cand_0024,pair_0024,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:50:00.000,00:52:00.000,00:50:00.000,00:52:00.000,动作口令/跟练 / 盆底/产后训练 / 问题问答/原因解释,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手交叉置于胸前，配合呼吸做缓慢收腹/肋间内收动作,上半身、双手、腹部,帧00:00:09.602：双手从体侧抬起至胸前交叉，身体微前倾，开始吸气准备,帧00:01:50.418：双手仍交叉于胸前，身体回正，呼气结束姿态,no,clear,yes,unclear,unclear,unclear,unclear,unclear,no,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,动作口令/跟练 / 盆底/产后训练 / 问题问答/原因解释 -> 双手交叉置于胸前，配合呼吸做缓慢收腹/肋间内收动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI014_live_cand_0024_pair_0024_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR014_live_cand_0024_pair_0024_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI014_live_cand_0024_pair_0024_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI014_live_cand_0024_pair_0024_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A014_live_cand_0024_pair_0024_rec_001/03_完整上下文_full_context.mp4,画面仅显示上半身重复性手部交叉+微调姿势动作，未见明确盆底肌发力特征（如会阴收缩、骨盆底肌群可见变化），无工具出现；无法确认是否为盆底/产后专项训练动作；动作周期未完成（无明显吸-屏-呼完整节律呈现）；口播声明中‘工具/动作演示 + 发力口令 + 低压跟练收束’结构在画面中无对应视觉证据（无工具、无口令同步提示、无收束动作）。因关键动作细节缺失，无法与声明中的‘盆底/产后训练’动作、问题、功能建立保守一致性。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI015,P0R015,live_cand_0025,pair_0025,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,00:52:00.000,00:54:00.000,00:52:00.000,00:54:00.000,动作口令/跟练 / 盆底/产后训练,痛点,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于下腹部/盆腔区域做按压或轻揉动作，伴随轻微躯干前倾与呼吸配合,下腹部、双手,帧00:00:09.602：双手从体侧移至下腹，掌心贴腹，身体微前倾,帧00:01:50.418：双手仍置于下腹，姿势未明显变化，无收手或转换动作迹象,no,clear,yes,yes,yes,yes,intercut,no,yes,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,动作口令/跟练 / 盆底/产后训练 -> 双手置于下腹部/盆腔区域做按压或轻揉动作，伴随轻微躯干前倾与呼吸配合,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI015_live_cand_0025_pair_0025_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/05_多动作组合_同一主题推进轻跟练收束/MR015_live_cand_0025_pair_0025_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI015_live_cand_0025_pair_0025_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/05_多动作组合_同一主题推进轻跟练收束/ALI015_live_cand_0025_pair_0025_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A015_live_cand_0025_pair_0025_rec_001/03_完整上下文_full_context.mp4,画面中 presenter 始终双手置于下腹部（盆底/产后训练典型定位），动作连贯、无中断或切换；各帧姿态高度一致，符合‘轻跟练收束’结构中的持续性微动作特征；无遮挡，主体清晰可见；动作目的与口播声明的‘盆底/产后训练’痛点高度一致；虽未见完整呼吸周期或动作重复循环，但作为轻跟练片段，持续维持位姿本身即为训练环节的一部分，符合‘轻跟练收束’定义；时间跨度2秒内多帧呈现同一状态，属合理切片范围。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
ALI016,P0R016,live_cand_0026,pair_0026,rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,工具/动作演示 + 发力口令 + 低压跟练收束,02_工具动作演示_发力口令低压跟练收束,00:56:00.000,00:58:00.000,00:56:00.000,00:58:00.000,胸部/呼吸练习 / 问题问答/原因解释 / 动作/问题关键词命中,方法,qwen3-vl-plus,qwen-vl-max,qwen3-vl-plus,success,,双手置于胸部下方/肋骨区域，配合呼吸做缓慢扩张与回缩动作,双手、胸廓、腹部,帧00:00:09.602：双手轻放于下胸/上腹交界处，身体微前倾，准备态,帧00:01:50.418：双手仍置于同位置，身体姿态未变，无明显收束动作完成迹象,no,clear,yes,unclear,unclear,unclear,unclear,unclear,no,weak_related_need_manual_review,可见动作但动作循环不完整或不确定,胸部/呼吸练习 / 问题问答/原因解释 / 动作/问题关键词命中 -> 双手置于胸部下方/肋骨区域，配合呼吸做缓慢扩张与回缩动作,no,not_available,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI016_live_cand_0026_pair_0026_rec_001,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/02_工具动作演示_发力口令低压跟练收束/MR016_live_cand_0026_pair_0026_rec_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI016_live_cand_0026_pair_0026_rec_001/04_视觉证据_contact_sheet.jpg,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_manual_review_video_pool/_visual_inputs/02_工具动作演示_发力口令低压跟练收束/ALI016_live_cand_0026_pair_0026_rec_001/05_20秒复核预览_preview_20s.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A016_live_cand_0026_pair_0026_rec_001/03_完整上下文_full_context.mp4,画面仅显示静态姿势维持与微小手部调整，未呈现完整呼吸-发力-收束循环；无可见口型或字幕佐证口播内容；无法确认是否为‘胸部/呼吸练习’的演示动作，亦无法判断是否对应问题问答或方法说明；动作未完成（无明显吸气扩张→呼气回缩→收束的视觉证据），且时间跨度内无动态变化趋势。按保守原则，不认定与声明一致。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,source_exists=true; material_status=created; sheet_status=reused; preview_status=reused; preview_error=; cached_summary_used=true; route=qwen3-vl-plus->qwen-vl-max; forbidden_models_called=no
