extract_id,source_file_id,source_path,extract_path,extract_mode,source_row_range,selected_columns,row_count,why_extracted,review_status,scanned_rows_or_lines,extract_stop_reason,sensitive_handling
EXTRACT0001,SRC00057,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00057_c07cec5976_06_讲师动作时间轴_presenter_action_timeline_extract.csv,extract_rows,2-81,_source_file_id;_source_line_number;_source_path;action_id;lesson_id;chunk_id;start_time;end_time;action_label;action_description_cn;body_part;expression;gaze;camera_state;confidence;review_flag,80,行数超过 10000；被动作知识库引用 2 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,not_detected_in_sample
EXTRACT0002,SRC00060,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00060_02ffc4db92_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,extract_rows,2-81,_source_file_id;_source_line_number;_source_path;row_id;lesson_id;chunk_id;start_time;end_time;transcript_text;source_ref;slide_title;visible_text;visual_focus;presenter_action;expression;gaze;prosody_label;confidence;review_flag,80,行数超过 10000；体积超过 10MB；被动作知识库引用 4 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0003,SRC00087,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00087_fff649f4d9_live_project_bridge_fields_extract.csv,extract_rows,2-15;17;21;23;26-29;36-39;42-46;51;53-56;61;63;70;72-74;76;78;80;84;86;89-90;93;95-98;100-102;105;107-108;112;115-117;119-120;122;124;126-128;131-134;136;139;141-144,_source_file_id;_source_line_number;_source_path;bridge_id;lesson_id;chunk_id;source_time;source_ref;live_usage_type;human_review_needed;knowledge_point_sample,80,行数超过 10000；课程文本命中敏感词，仅保留高层摘录；被动作知识库引用 4 次；被问题分类引用 5 次,pending_user_review,143,selected_row_limit_reached,redacted_high_level_only
EXTRACT0004,SRC00088,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/neural_avatar_bridge_fields.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00088_dd3bb6e0da_neural_avatar_bridge_fields_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;bridge_id;lesson_id;chunk_id;source_time;source_text;avatar_action_label;avatar_gaze;avatar_camera_state;slide_sync_needed;risk_level;human_review_needed;source_ref;confidence;content_intent,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0005,SRC00089,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/presenter_actions.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00089_a976bf82c0_presenter_actions_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;action_id;lesson_id;chunk_id;start_time;end_time;action_label;action_description_cn;body_part;expression;gaze;camera_state;confidence;review_flag,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,80,selected_row_limit_reached,not_detected_in_sample
EXTRACT0006,SRC00091,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/prosody_pacing.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00091_3a3842f99f_prosody_pacing_extract.jsonl,extract_rows,1-28;30-38;41-44;46-84,_source_file_id;_source_line_number;_source_path;prosody_id;lesson_id;chunk_id;start_time;end_time;prosody_label;confidence;review_flag,80,行数超过 10000；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,84,selected_row_limit_reached,not_detected_in_sample
EXTRACT0007,SRC00093,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/transcript_timeline.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00093_d67e235360_transcript_timeline_extract.jsonl,extract_rows,1-14;16;20;22;25-28;35-38;41-45;50;52-55;60;62;69;71-76;79;81;84-85;88;90-93;95-97;99;101-102;106;109-111;113-114;116;118;120-122;125-128;130;133;135-138,_source_file_id;_source_line_number;_source_path;transcript_id;lesson_id;chunk_id;start_time;end_time;source_ref;confidence;review_flag;timecode_status;raw_text;clean_text;speaker,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,138,selected_row_limit_reached,redacted_high_level_only
EXTRACT0008,SRC00094,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/tri_alignment.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00094_1cc872ddac_tri_alignment_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;row_id;lesson_id;chunk_id;start_time;end_time;transcript_text;source_ref;slide_title;visible_text;visual_focus;presenter_action;expression;gaze;prosody_label;confidence;review_flag,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0009,SRC00341,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00341_2ca69b3bde_06_讲师动作时间轴_presenter_action_timeline_extract.csv,extract_rows,2-81,_source_file_id;_source_line_number;_source_path;action_id;lesson_id;start_time;end_time;action_label;action_description_cn;body_part;expression;gaze;camera_state;confidence;review_flag,80,行数超过 10000；体积超过 10MB；被动作知识库引用 2 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,not_detected_in_sample
EXTRACT0010,SRC00344,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00344_ba1f9a9034_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,extract_rows,2-81,_source_file_id;_source_line_number;_source_path;row_id;lesson_id;start_time;end_time;transcript_text;slide_title;visible_text;visual_focus;presenter_action;expression;gaze;prosody_label;confidence;review_flag,80,行数超过 10000；体积超过 10MB；被动作知识库引用 4 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0011,SRC06157,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/live_project_bridge_fields.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06157_5049f5855a_live_project_bridge_fields_extract.csv,extract_rows,2-81,_source_file_id;_source_line_number;_source_path;bridge_id;lesson_id;source_time;source_text;bridge_category;risk_level;human_review_needed;source_ref;confidence;content_intent,80,行数超过 10000；体积超过 10MB；课程文本命中敏感词，仅保留高层摘录；被动作知识库引用 4 次；被问题分类引用 5 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0012,SRC06158,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/neural_avatar_bridge_fields.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06158_84b395a2ac_neural_avatar_bridge_fields_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;bridge_id;lesson_id;source_time;source_text;avatar_action_label;avatar_gaze;avatar_camera_state;slide_sync_needed;risk_level;human_review_needed;source_ref;confidence;content_intent;avatar_speech_type,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0013,SRC06159,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/presenter_actions.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06159_27fcc1ffe9_presenter_actions_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;action_id;lesson_id;start_time;end_time;action_label;action_description_cn;body_part;expression;gaze;camera_state;confidence;review_flag,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,80,selected_row_limit_reached,not_detected_in_sample
EXTRACT0014,SRC06160,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/prosody_pacing.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06160_a55acba082_prosody_pacing_extract.jsonl,extract_rows,1-65;67-81,_source_file_id;_source_line_number;_source_path;prosody_id;lesson_id;start_time;end_time;prosody_label;text;confidence;review_flag;speech_type,80,行数超过 10000；体积超过 10MB；用于逐句动作、数字人桥接和节奏统计。,pending_user_review,81,selected_row_limit_reached,redacted_high_level_only
EXTRACT0015,SRC06162,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0000_0099_action_alignment.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06162_be3e12283e_lessons_0000_0099_action_alignment_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;sentence_id;lesson_id;source_file;start_time;end_time;start_seconds;end_seconds;chunk_index;chunk_id;raw_text;clean_text;asr_confidence;source_review_flag;timecode_status;visual_sample_id;visual_sample_time;visual_sample_distance_seconds;frame_preview_path;video_presenter_visible;video_face_count;video_hand_count;video_pose_visible;video_motion_level;video_camera_state;video_action_label;text_action_label;text_action_note;final_action_label,80,行数超过 10000；体积超过 10MB；被动作知识库引用 3 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0016,SRC06163,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0100_0199_action_alignment.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06163_4cdb61d48c_lessons_0100_0199_action_alignment_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;sentence_id;lesson_id;source_file;start_time;end_time;start_seconds;end_seconds;chunk_index;chunk_id;raw_text;clean_text;asr_confidence;source_review_flag;timecode_status;visual_sample_id;visual_sample_time;visual_sample_distance_seconds;frame_preview_path;video_presenter_visible;video_face_count;video_hand_count;video_pose_visible;video_motion_level;video_camera_state;video_action_label;text_action_label;text_action_note;final_action_label,80,行数超过 10000；体积超过 10MB；被动作知识库引用 3 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0017,SRC06164,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0200_0299_action_alignment.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06164_8e80954a8b_lessons_0200_0299_action_alignment_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;sentence_id;lesson_id;source_file;start_time;end_time;start_seconds;end_seconds;chunk_index;chunk_id;raw_text;clean_text;asr_confidence;source_review_flag;timecode_status;visual_sample_id;visual_sample_time;visual_sample_distance_seconds;frame_preview_path;video_presenter_visible;video_face_count;video_hand_count;video_pose_visible;video_motion_level;video_camera_state;video_action_label;text_action_label;text_action_note;final_action_label,80,行数超过 10000；体积超过 10MB；被动作知识库引用 3 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,not_detected_in_sample
EXTRACT0018,SRC06165,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0300_0399_action_alignment.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06165_17c7877ada_lessons_0300_0399_action_alignment_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;sentence_id;lesson_id;source_file;start_time;end_time;start_seconds;end_seconds;chunk_index;chunk_id;raw_text;clean_text;asr_confidence;source_review_flag;timecode_status;visual_sample_id;visual_sample_time;visual_sample_distance_seconds;frame_preview_path;video_presenter_visible;video_face_count;video_hand_count;video_pose_visible;video_motion_level;video_camera_state;video_action_label;text_action_label;text_action_note;final_action_label,80,行数超过 10000；体积超过 10MB；被动作知识库引用 3 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
EXTRACT0019,SRC06166,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0400_0499_action_alignment.jsonl,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC06166_1172a2961a_lessons_0400_0499_action_alignment_extract.jsonl,extract_rows,1-80,_source_file_id;_source_line_number;_source_path;sentence_id;lesson_id;source_file;start_time;end_time;start_seconds;end_seconds;chunk_index;chunk_id;raw_text;clean_text;asr_confidence;source_review_flag;timecode_status;visual_sample_id;visual_sample_time;visual_sample_distance_seconds;frame_preview_path;video_presenter_visible;video_face_count;video_hand_count;video_pose_visible;video_motion_level;video_camera_state;video_action_label;text_action_label;text_action_note;final_action_label,80,行数超过 10000；体积超过 10MB；被动作知识库引用 3 次；被问题分类引用 4 次,pending_user_review,80,selected_row_limit_reached,redacted_high_level_only
